,stage_avg,stage_min,stage_max,temp,water_code,ice_thickness,snow_height,place,discharge,year,month,day,delta_stage_max,station_id
1985-01-01,96.0,96.0,96.0,,16,,,,,1985.0,1.0,1.0,,3041
1985-01-02,93.0,93.0,93.0,,16,,,,,1985.0,1.0,2.0,-3.0,3041
1985-01-03,91.0,91.0,91.0,,16,,,,,1985.0,1.0,3.0,-2.0,3041
1985-01-04,88.0,88.0,88.0,,16,,,,,1985.0,1.0,4.0,-3.0,3041
1985-01-05,86.0,86.0,86.0,,16,,,,,1985.0,1.0,5.0,-2.0,3041
1985-01-06,84.0,84.0,84.0,,16,,,,,1985.0,1.0,6.0,-2.0,3041
1985-01-07,83.0,83.0,83.0,,16,,,,,1985.0,1.0,7.0,-1.0,3041
1985-01-08,82.0,82.0,82.0,,16,,,,,1985.0,1.0,8.0,-1.0,3041
1985-01-09,78.0,78.0,78.0,,16,,,,,1985.0,1.0,9.0,-4.0,3041
1985-01-10,77.0,77.0,77.0,,16,93.0,20.0,1.0,,1985.0,1.0,10.0,-1.0,3041
1985-01-11,74.0,74.0,74.0,,16,,,,,1985.0,1.0,11.0,-3.0,3041
1985-01-12,72.0,72.0,72.0,,16,,,,,1985.0,1.0,12.0,-2.0,3041
1985-01-13,69.0,69.0,69.0,,16,,,,,1985.0,1.0,13.0,-3.0,3041
1985-01-14,66.0,66.0,66.0,,16,,,,,1985.0,1.0,14.0,-3.0,3041
1985-01-15,64.0,64.0,64.0,,16,,,,,1985.0,1.0,15.0,-2.0,3041
1985-01-16,63.0,63.0,63.0,,16,,,,,1985.0,1.0,16.0,-1.0,3041
1985-01-17,61.0,61.0,61.0,,16,,,,,1985.0,1.0,17.0,-2.0,3041
1985-01-18,59.0,59.0,59.0,,16,,,,,1985.0,1.0,18.0,-2.0,3041
1985-01-19,57.0,57.0,57.0,,16,,,,,1985.0,1.0,19.0,-2.0,3041
1985-01-20,54.0,54.0,54.0,,16,101.0,21.0,1.0,,1985.0,1.0,20.0,-3.0,3041
1985-01-21,53.0,53.0,53.0,,16,,,,,1985.0,1.0,21.0,-1.0,3041
1985-01-22,51.0,51.0,51.0,,16,,,,,1985.0,1.0,22.0,-2.0,3041
1985-01-23,49.0,49.0,49.0,,16,,,,,1985.0,1.0,23.0,-2.0,3041
1985-01-24,47.0,47.0,47.0,,16,,,,,1985.0,1.0,24.0,-2.0,3041
1985-01-25,46.0,46.0,46.0,,16,,,,,1985.0,1.0,25.0,-1.0,3041
1985-01-26,44.0,44.0,44.0,,16,,,,,1985.0,1.0,26.0,-2.0,3041
1985-01-27,42.0,42.0,42.0,,16,,,,,1985.0,1.0,27.0,-2.0,3041
1985-01-28,42.0,42.0,42.0,,16,,,,,1985.0,1.0,28.0,0.0,3041
1985-01-29,41.0,41.0,41.0,,16,,,,,1985.0,1.0,29.0,-1.0,3041
1985-01-30,40.0,40.0,40.0,,16,,,,,1985.0,1.0,30.0,-1.0,3041
1985-01-31,39.0,39.0,39.0,,16,114.0,22.0,1.0,,1985.0,1.0,31.0,-1.0,3041
1985-02-01,37.0,37.0,37.0,,16,,,,,1985.0,2.0,32.0,-2.0,3041
1985-02-02,35.0,35.0,35.0,,16,,,,,1985.0,2.0,33.0,-2.0,3041
1985-02-03,33.0,33.0,33.0,,16,,,,,1985.0,2.0,34.0,-2.0,3041
1985-02-04,31.0,31.0,31.0,,16,,,,,1985.0,2.0,35.0,-2.0,3041
1985-02-05,30.0,30.0,30.0,,16,,,,,1985.0,2.0,36.0,-1.0,3041
1985-02-06,29.0,29.0,29.0,,16,,,,,1985.0,2.0,37.0,-1.0,3041
1985-02-07,28.0,28.0,28.0,,16,,,,,1985.0,2.0,38.0,-1.0,3041
1985-02-08,27.0,27.0,27.0,,16,,,,,1985.0,2.0,39.0,-1.0,3041
1985-02-09,26.0,26.0,26.0,,16,,,,,1985.0,2.0,40.0,-1.0,3041
1985-02-10,25.0,25.0,25.0,,16,121.0,21.0,1.0,,1985.0,2.0,41.0,-1.0,3041
1985-02-11,24.0,24.0,24.0,,16,,,,,1985.0,2.0,42.0,-1.0,3041
1985-02-12,23.0,23.0,23.0,,16,,,,,1985.0,2.0,43.0,-1.0,3041
1985-02-13,23.0,23.0,23.0,,16,,,,,1985.0,2.0,44.0,0.0,3041
1985-02-14,23.0,23.0,23.0,,16,,,,,1985.0,2.0,45.0,0.0,3041
1985-02-15,22.0,22.0,22.0,,16,,,,,1985.0,2.0,46.0,-1.0,3041
1985-02-16,21.0,21.0,21.0,,16,,,,,1985.0,2.0,47.0,-1.0,3041
1985-02-17,20.0,20.0,20.0,,16,,,,,1985.0,2.0,48.0,-1.0,3041
1985-02-18,19.0,19.0,19.0,,16,,,,,1985.0,2.0,49.0,-1.0,3041
1985-02-19,19.0,19.0,19.0,,16,,,,,1985.0,2.0,50.0,0.0,3041
1985-02-20,18.0,18.0,18.0,,16,130.0,23.0,1.0,,1985.0,2.0,51.0,-1.0,3041
1985-02-21,17.0,17.0,17.0,,16,,,,,1985.0,2.0,52.0,-1.0,3041
1985-02-22,16.0,16.0,16.0,,16,,,,,1985.0,2.0,53.0,-1.0,3041
1985-02-23,15.0,15.0,15.0,,16,,,,,1985.0,2.0,54.0,-1.0,3041
1985-02-24,14.0,14.0,14.0,,16,,,,,1985.0,2.0,55.0,-1.0,3041
1985-02-25,13.0,13.0,13.0,,16,,,,,1985.0,2.0,56.0,-1.0,3041
1985-02-26,13.0,13.0,13.0,,16,,,,,1985.0,2.0,57.0,0.0,3041
1985-02-27,12.0,12.0,12.0,,16,,,,,1985.0,2.0,58.0,-1.0,3041
1985-02-28,10.0,10.0,10.0,,16,135.0,24.0,1.0,,1985.0,2.0,59.0,-2.0,3041
1985-03-01,11.0,11.0,11.0,,16,,,,,1985.0,3.0,60.0,1.0,3041
1985-03-02,11.0,11.0,11.0,,16,,,,,1985.0,3.0,61.0,0.0,3041
1985-03-03,11.0,11.0,11.0,,16,,,,,1985.0,3.0,62.0,0.0,3041
1985-03-04,11.0,11.0,11.0,,16,,,,,1985.0,3.0,63.0,0.0,3041
1985-03-05,11.0,11.0,11.0,,16,,,,,1985.0,3.0,64.0,0.0,3041
1985-03-06,11.0,11.0,11.0,,16,,,,,1985.0,3.0,65.0,0.0,3041
1985-03-07,10.0,10.0,10.0,,16,,,,,1985.0,3.0,66.0,-1.0,3041
1985-03-08,10.0,10.0,10.0,,16,,,,,1985.0,3.0,67.0,0.0,3041
1985-03-09,9.0,9.0,9.0,,16,,,,,1985.0,3.0,68.0,-1.0,3041
1985-03-10,9.0,9.0,9.0,,16,137.0,22.0,1.0,,1985.0,3.0,69.0,0.0,3041
1985-03-11,8.0,8.0,8.0,,16,,,,,1985.0,3.0,70.0,-1.0,3041
1985-03-12,7.0,7.0,7.0,,16,,,,,1985.0,3.0,71.0,-1.0,3041
1985-03-13,7.0,7.0,7.0,,16,,,,,1985.0,3.0,72.0,0.0,3041
1985-03-14,7.0,7.0,7.0,,16,,,,,1985.0,3.0,73.0,0.0,3041
1985-03-15,7.0,7.0,7.0,,16,,,,,1985.0,3.0,74.0,0.0,3041
1985-03-16,7.0,7.0,7.0,,16,,,,,1985.0,3.0,75.0,0.0,3041
1985-03-17,6.0,6.0,6.0,,16,,,,,1985.0,3.0,76.0,-1.0,3041
1985-03-18,6.0,6.0,6.0,,16,,,,,1985.0,3.0,77.0,0.0,3041
1985-03-19,5.0,5.0,5.0,,16,,,,,1985.0,3.0,78.0,-1.0,3041
1985-03-20,5.0,5.0,5.0,,16,138.0,22.0,1.0,,1985.0,3.0,79.0,0.0,3041
1985-03-21,5.0,5.0,5.0,,16,,,,,1985.0,3.0,80.0,0.0,3041
1985-03-22,5.0,5.0,5.0,,16,,,,,1985.0,3.0,81.0,0.0,3041
1985-03-23,5.0,5.0,5.0,,16,,,,,1985.0,3.0,82.0,0.0,3041
1985-03-24,4.0,4.0,4.0,,16,,,,,1985.0,3.0,83.0,-1.0,3041
1985-03-25,3.0,3.0,3.0,,16,,,,,1985.0,3.0,84.0,-1.0,3041
1985-03-26,2.0,2.0,2.0,,16,,,,,1985.0,3.0,85.0,-1.0,3041
1985-03-27,2.0,2.0,2.0,,16,,,,,1985.0,3.0,86.0,0.0,3041
1985-03-28,1.0,1.0,1.0,,16,,,,,1985.0,3.0,87.0,-1.0,3041
1985-03-29,0.0,0.0,0.0,,16,,,,,1985.0,3.0,88.0,-1.0,3041
1985-03-30,0.0,0.0,0.0,,16,,,,,1985.0,3.0,89.0,0.0,3041
1985-03-31,0.0,0.0,0.0,,16,140.0,23.0,1.0,,1985.0,3.0,90.0,0.0,3041
1985-04-01,-2.0,-2.0,-2.0,,16,,,,,1985.0,4.0,91.0,-2.0,3041
1985-04-02,-2.0,-2.0,-2.0,,16,,,,,1985.0,4.0,92.0,0.0,3041
1985-04-03,-2.0,-2.0,-2.0,,16,,,,,1985.0,4.0,93.0,0.0,3041
1985-04-04,-2.0,-2.0,-2.0,,16,,,,,1985.0,4.0,94.0,0.0,3041
1985-04-05,-2.0,-2.0,-2.0,,16,,,,,1985.0,4.0,95.0,0.0,3041
1985-04-06,-2.0,-2.0,-2.0,,16,,,,,1985.0,4.0,96.0,0.0,3041
1985-04-07,-2.0,-2.0,-2.0,,16,,,,,1985.0,4.0,97.0,0.0,3041
1985-04-08,-2.0,-2.0,-2.0,,16,,,,,1985.0,4.0,98.0,0.0,3041
1985-04-09,-3.0,-3.0,-3.0,,16,,,,,1985.0,4.0,99.0,-1.0,3041
1985-04-10,-3.0,-3.0,-3.0,,16,142.0,23.0,1.0,,1985.0,4.0,100.0,0.0,3041
1985-04-11,-3.0,-3.0,-3.0,,16,,,,,1985.0,4.0,101.0,0.0,3041
1985-04-12,-3.0,-3.0,-3.0,,16,,,,,1985.0,4.0,102.0,0.0,3041
1985-04-13,-3.0,-3.0,-3.0,,16,,,,,1985.0,4.0,103.0,0.0,3041
1985-04-14,-4.0,-4.0,-4.0,,16,,,,,1985.0,4.0,104.0,-1.0,3041
1985-04-15,-5.0,-5.0,-5.0,,16,,,,,1985.0,4.0,105.0,-1.0,3041
1985-04-16,-6.0,-6.0,-6.0,,16,,,,,1985.0,4.0,106.0,-1.0,3041
1985-04-17,0.0,0.0,0.0,,16,,,,,1985.0,4.0,107.0,6.0,3041
1985-04-18,3.0,2.0,4.0,,16,,,,,1985.0,4.0,108.0,4.0,3041
1985-04-19,7.0,6.0,8.0,,16,,,,,1985.0,4.0,109.0,4.0,3041
1985-04-20,11.0,10.0,12.0,,16,142.0,,1.0,,1985.0,4.0,110.0,4.0,3041
1985-04-21,10.0,9.0,10.0,,16,,,,,1985.0,4.0,111.0,-2.0,3041
1985-04-22,7.0,7.0,7.0,,16,,,,,1985.0,4.0,112.0,-3.0,3041
1985-04-23,7.0,7.0,7.0,,16,,,,,1985.0,4.0,113.0,0.0,3041
1985-04-24,9.0,8.0,9.0,,16,,,,,1985.0,4.0,114.0,2.0,3041
1985-04-25,11.0,10.0,11.0,,16,,,,,1985.0,4.0,115.0,2.0,3041
1985-04-26,14.0,13.0,14.0,,16,,,,,1985.0,4.0,116.0,3.0,3041
1985-04-27,18.0,17.0,18.0,,16,,,,,1985.0,4.0,117.0,4.0,3041
1985-04-28,22.0,21.0,23.0,,16,,,,,1985.0,4.0,118.0,5.0,3041
1985-04-29,28.0,26.0,29.0,,16,,,,,1985.0,4.0,119.0,6.0,3041
1985-04-30,35.0,33.0,37.0,,16,,,1.0,,1985.0,4.0,120.0,8.0,3041
1985-05-01,46.0,44.0,47.0,,16,,,,,1985.0,5.0,121.0,10.0,3041
1985-05-02,59.0,55.0,63.0,,16,,,,,1985.0,5.0,122.0,16.0,3041
1985-05-03,77.0,71.0,83.0,,16,,,,,1985.0,5.0,123.0,20.0,3041
1985-05-04,114.0,104.0,123.0,,"23,16",,,,,1985.0,5.0,124.0,40.0,3041
1985-05-05,161.0,153.0,169.0,,23,,,,,1985.0,5.0,125.0,46.0,3041
1985-05-06,196.0,188.0,203.0,0.2,23,,,,,1985.0,5.0,126.0,34.0,3041
1985-05-07,234.0,221.0,246.0,0.7,23,,,,,1985.0,5.0,127.0,43.0,3041
1985-05-08,284.0,273.0,294.0,0.6,23,,,,,1985.0,5.0,128.0,48.0,3041
1985-05-09,321.0,312.0,329.0,1.2,23,,,,,1985.0,5.0,129.0,35.0,3041
1985-05-10,357.0,344.0,370.0,0.5,"26,23",,,,,1985.0,5.0,130.0,41.0,3041
1985-05-11,392.0,384.0,399.0,0.3,26,,,,,1985.0,5.0,131.0,29.0,3041
1985-05-12,414.0,409.0,418.0,0.3,"26,25",,,,,1985.0,5.0,132.0,19.0,3041
1985-05-13,448.0,443.0,452.0,0.3,"26,25",,,,,1985.0,5.0,133.0,34.0,3041
