,stage_avg,stage_min,stage_max,temp,water_code,ice_thickness,snow_height,place,discharge,year,month,day,delta_stage_max,station_id
1985-01-01,94.0,94.0,94.0,,"14,15",,,,144.0,1985.0,1.0,1.0,,3106
1985-01-02,90.0,90.0,90.0,,"14,15",,,,142.0,1985.0,1.0,2.0,-4.0,3106
1985-01-03,89.0,89.0,89.0,,"14,15",,,,139.0,1985.0,1.0,3.0,-1.0,3106
1985-01-04,87.0,87.0,87.0,,"14,16",,,,137.0,1985.0,1.0,4.0,-2.0,3106
1985-01-05,86.0,86.0,86.0,,"14,16",60.0,42.0,1.0,134.0,1985.0,1.0,5.0,-1.0,3106
1985-01-06,85.0,85.0,85.0,,"14,16",,,,132.0,1985.0,1.0,6.0,-1.0,3106
1985-01-07,82.0,82.0,82.0,,"14,16",,,,129.0,1985.0,1.0,7.0,-3.0,3106
1985-01-08,81.0,81.0,81.0,,"14,16",,,,127.0,1985.0,1.0,8.0,-1.0,3106
1985-01-09,79.0,79.0,79.0,,"14,16",,,,125.0,1985.0,1.0,9.0,-2.0,3106
1985-01-10,77.0,77.0,77.0,,"14,16",63.0,42.0,1.0,123.0,1985.0,1.0,10.0,-2.0,3106
1985-01-11,75.0,75.0,75.0,,"14,16",,,,121.0,1985.0,1.0,11.0,-2.0,3106
1985-01-12,74.0,74.0,74.0,,"14,16",,,,119.0,1985.0,1.0,12.0,-1.0,3106
1985-01-13,72.0,72.0,72.0,,"14,16",,,,117.0,1985.0,1.0,13.0,-2.0,3106
1985-01-14,70.0,70.0,70.0,,"14,16",,,,115.0,1985.0,1.0,14.0,-2.0,3106
1985-01-15,69.0,69.0,69.0,,"14,16",65.0,44.0,1.0,114.0,1985.0,1.0,15.0,-1.0,3106
1985-01-16,68.0,68.0,68.0,,"14,16",,,,112.0,1985.0,1.0,16.0,-1.0,3106
1985-01-17,66.0,66.0,66.0,,"14,16",,,,110.0,1985.0,1.0,17.0,-2.0,3106
1985-01-18,63.0,63.0,63.0,,"14,16",,,,108.0,1985.0,1.0,18.0,-3.0,3106
1985-01-19,61.0,61.0,61.0,,"14,16",,,,106.0,1985.0,1.0,19.0,-2.0,3106
1985-01-20,60.0,60.0,60.0,,"14,16",69.0,49.0,1.0,104.0,1985.0,1.0,20.0,-1.0,3106
1985-01-21,58.0,58.0,58.0,,"14,15",,,,102.0,1985.0,1.0,21.0,-2.0,3106
1985-01-22,57.0,57.0,57.0,,"14,15",,,,100.0,1985.0,1.0,22.0,-1.0,3106
1985-01-23,56.0,56.0,56.0,,"14,15",,,,98.1,1985.0,1.0,23.0,-1.0,3106
1985-01-24,56.0,56.0,56.0,,"14,15",,,,97.3,1985.0,1.0,24.0,0.0,3106
1985-01-25,55.0,55.0,55.0,,"14,15",71.0,51.0,1.0,96.5,1985.0,1.0,25.0,-1.0,3106
1985-01-26,54.0,54.0,54.0,,"14,15",,,,95.8,1985.0,1.0,26.0,-1.0,3106
1985-01-27,53.0,53.0,53.0,,"14,15",,,,95.0,1985.0,1.0,27.0,-1.0,3106
1985-01-28,52.0,52.0,52.0,,"14,15",,,,94.1,1985.0,1.0,28.0,-1.0,3106
1985-01-29,51.0,51.0,51.0,,"14,15",,,,93.3,1985.0,1.0,29.0,-1.0,3106
1985-01-30,49.0,49.0,49.0,,"14,15",,,,92.6,1985.0,1.0,30.0,-2.0,3106
1985-01-31,48.0,48.0,48.0,,"14,15",74.0,54.0,1.0,91.8,1985.0,1.0,31.0,-1.0,3106
1985-02-01,47.0,47.0,47.0,,"15,14",,,,91.1,1985.0,2.0,32.0,-1.0,3106
1985-02-02,46.0,46.0,46.0,,"15,14",,,,90.3,1985.0,2.0,33.0,-1.0,3106
1985-02-03,45.0,45.0,45.0,,"15,14",,,,89.6,1985.0,2.0,34.0,-1.0,3106
1985-02-04,45.0,45.0,45.0,,"15,14",,,,88.8,1985.0,2.0,35.0,0.0,3106
1985-02-05,45.0,45.0,45.0,,"15,14",79.0,56.0,1.0,88.0,1985.0,2.0,36.0,0.0,3106
1985-02-06,44.0,44.0,44.0,,"15,14",,,,87.6,1985.0,2.0,37.0,-1.0,3106
1985-02-07,44.0,44.0,44.0,,"15,14",,,,87.1,1985.0,2.0,38.0,0.0,3106
1985-02-08,43.0,43.0,43.0,,"15,14",,,,86.8,1985.0,2.0,39.0,-1.0,3106
1985-02-09,43.0,43.0,43.0,,"15,14",,,,86.5,1985.0,2.0,40.0,0.0,3106
1985-02-10,42.0,42.0,42.0,,"16,14",87.0,56.0,1.0,86.1,1985.0,2.0,41.0,-1.0,3106
1985-02-11,41.0,41.0,41.0,,"16,14",,,,85.6,1985.0,2.0,42.0,-1.0,3106
1985-02-12,40.0,40.0,40.0,,"16,14",,,,85.3,1985.0,2.0,43.0,-1.0,3106
1985-02-13,39.0,39.0,39.0,,"16,14",,,,85.0,1985.0,2.0,44.0,-1.0,3106
1985-02-14,37.0,37.0,37.0,,"16,14",,,,84.6,1985.0,2.0,45.0,-2.0,3106
1985-02-15,36.0,36.0,36.0,,"16,14",89.0,53.0,1.0,84.1,1985.0,2.0,46.0,-1.0,3106
1985-02-16,35.0,35.0,35.0,,"15,14",,,,83.8,1985.0,2.0,47.0,-1.0,3106
1985-02-17,35.0,35.0,35.0,,"15,14",,,,83.5,1985.0,2.0,48.0,0.0,3106
1985-02-18,33.0,33.0,33.0,,"15,14",,,,83.1,1985.0,2.0,49.0,-2.0,3106
1985-02-19,32.0,32.0,32.0,,"15,14",,,,82.6,1985.0,2.0,50.0,-1.0,3106
1985-02-20,31.0,31.0,31.0,,"15,14",95.0,54.0,1.0,82.8,1985.0,2.0,51.0,-1.0,3106
1985-02-21,30.0,30.0,30.0,,"15,14",,,,83.0,1985.0,2.0,52.0,-1.0,3106
1985-02-22,29.0,29.0,29.0,,"15,14",,,,83.1,1985.0,2.0,53.0,-1.0,3106
1985-02-23,28.0,28.0,28.0,,"15,14",,,,83.3,1985.0,2.0,54.0,-1.0,3106
1985-02-24,27.0,27.0,27.0,,"15,14",,,,83.5,1985.0,2.0,55.0,-1.0,3106
