x;Height_m
0.0;217.0
96.006723107546;218.0
192.013446215092;219.0
288.02016932263797;219.0
384.026892430184;220.0
480.03361553773;220.0
576.0403386452759;221.0
672.047061752822;221.0
768.053784860368;221.0
864.060507967914;221.0
960.06723107546;222.0
1056.073954183006;222.0
1152.0806772905519;222.0
1248.087400398098;222.0
1344.094123505644;223.0
1440.10084661319;223.0
1536.107569720736;223.0
1632.1142928282818;223.0
1728.121015935828;223.0
1824.1277390433738;223.0
1920.13446215092;223.0
2016.1411852584658;224.0
2112.147908366012;224.0
2208.154631473558;224.0
2304.1613545811038;224.0
2400.1680776886496;224.0
2496.174800796196;224.0
2592.181523903742;224.0
2688.188247011288;223.0
2784.1949701188337;223.0
2880.20169322638;222.0
2976.208416333926;221.0
3072.215139441472;221.0
3168.2218625490177;220.0
3264.2285856565636;219.0
3360.23530876411;219.0
3456.242031871656;218.0
3552.2487549792017;217.0
3648.2554780867476;217.0
3744.262201194294;216.0
3840.26892430184;215.0
3936.275647409386;215.0
4032.2823705169317;214.0
4128.289093624478;214.0
4224.295816732024;213.0
4320.302539839569;212.0
4416.309262947116;212.0
4512.315986054662;211.0
4608.3227091622075;210.0
4704.329432269754;209.0
4800.336155377299;209.0
4896.342878484846;208.0
4992.349601592392;208.0
5088.356324699937;207.0
5184.363047807484;207.0
5280.36977091503;206.0
5376.376494022576;206.0
5472.383217130122;206.0
5568.389940237667;205.0
5664.396663345214;205.0
5760.40338645276;205.0
5856.4101095603055;205.0
5952.416832667852;205.0
6048.423555775397;204.0
6144.430278882944;204.0
6240.43700199049;205.0
6336.443725098035;205.0
6432.450448205582;205.0
6528.457171313127;205.0
6624.463894420674;206.0
6720.47061752822;207.0
6816.477340635765;209.0
6912.484063743312;209.0
7008.490786850857;210.0
7104.4975099584035;210.0
7200.50423306595;210.0
7296.510956173495;209.0
7392.517679281042;208.0
7488.524402388588;206.0
7584.531125496133;204.0
7680.53784860368;203.0
7776.544571711225;204.0
7872.551294818772;203.0
7968.558017926318;203.0
8064.564741033863;203.0
8160.57146414141;203.0
8256.578187248955;202.0
8352.584910356501;201.0
8448.591633464048;201.0
8544.598356571594;203.0
8640.605079679139;203.0
8736.611802786685;203.0
8832.618525894231;200.0
8928.625249001778;199.0
9024.631972109324;194.0
9120.638695216869;190.0
9216.645418324415;181.0
9312.652141431961;140.0
9408.658864539508;129.0
9504.665587647054;120.0
9600.672310754599;114.0
9696.679033862145;112.0
9792.685756969691;106.0
9888.692480077238;101.0
9984.699203184784;98.0
10080.705926292329;97.0
10176.712649399875;95.0
10272.719372507421;95.0
10368.726095614968;95.0
10464.732818722514;96.0
10560.73954183006;95.0
