station_id,year_GMT,month_GMT,day_GMT,synop_hour_GMT,year_local,month_local,day_local,synop_hour_local,synop_hour_order_PDZV,time_local,timezone,meteo_day_start_PDZV,source_index,horizontal_visibility,horizontal_visibility_qual,horizontal_visibility_qual_1,cloud_amount_total,cloud_amount_total_qual,cloud_amount_low_level,cloud_amount_low_level_qual,cloud_form_high_level,cloud_form_high_level_qual,cloud_form_middle_level,cloud_form_middle_level_qual,cloud_form_vertical_develop,cloud_form_vertical_develop_qual,cloud_form_strat_stratocum,cloud_form_strat_stratocum_qual,cloud_form_strat_rain,cloud_form_strat_rain_qual,cloud_base_altitude,cloud_base_altitude_qual,cloud_base_altitude_qual_1,cloud_below_station,cloud_below_station_qual,soil_surface_condition,soil_surface_condition_qual,weather_before,weather_before_qual,weather,weather_qual,wind_direction,wind_direction_qual,wind_speed_aver,wind_speed_aver_qual,wind_speed_aver_qual_1,wind_speed_max,wind_speed_max_qual,wind_speed_max_qual_1,precipitation,precipitation_qual,soil_surface_temperature,soil_surface_temperature_qual,soil_surface_alco_temperature,soil_surface_alco_temperature_qual,soil_surface_temperature_min_before,soil_surface_temperature_min_before_qual,soil_surface_temperature_max_before,soil_surface_temperature_max_before_qual,soil_surface_max_temperature,soil_surface_max_temperature_qual,air_temperature,air_temperature_qual,air_temperature_wet_bulb,air_temperature_wet_bulb_qual,air_temperature_wet_bulb_qual_1,air_temperature_min_alco_temperature,air_temperature_min_alco_temperature_qual,air_temperature_min_before,air_temperature_min_before_qual,air_temperature_max_before,air_temperature_max_before_qual,air_max_temperature,air_max_temperature_qual,water_vapour_partial_pressure,water_vapour_partial_pressure_qual,water_vapour_partial_pressure_qual_1,relative_humidity,relative_humidity_qual,vapour_pressure_deficit,vapour_pressure_deficit_qual,vapour_pressure_deficit_qual_1,dew_point_temperature,dew_point_temperature_qual,pressure,pressure_qual,pressure_sea_level,pressure_sea_level_qual,barometric_tendency_characteristic,barometric_tendency_characteristic_qual,barometric_tendency,barometric_tendency_qual,date_local
24641,2003,4,24,0,2003,4,114,0,4,9,8,20,4,97.0,0,0.0,10.0,0,7.0,0,8.0,0,2.0,0,4.0,0,0.0,0,0.0,0,390.0,0,0.0,0.0,7,3.0,0,8.0,0,85.0,0,220.0,0,4.0,0,0,9.0,0,0,0.6,0,-4.4,0,-4.8,0,-9.5,0,-4.2,0,-4.4,0,-5.4,0,-6.3,0,1,-5.5,0,-5.9,0,-4.9,0,-5.2,0,2.96,0,2,72.0,0,1.13,0,2,-9.6,0,975.9,0,989.8,0,2.0,0,0.7,0,2003-04-24
24641,2013,4,23,0,2013,4,113,0,4,9,8,20,4,98.0,0,0.0,10.0,0,3.0,0,5.0,0,1.0,0,2.0,0,0.0,0,0.0,0,800.0,0,1.0,0.0,7,2.0,0,8.0,0,85.0,0,350.0,0,2.0,0,0,5.0,0,0,0.0,0,-0.5,0,-0.5,0,-7.0,0,-0.2,0,-0.2,0,-0.7,0,-1.3,0,1,-0.7,0,-4.4,0,-0.5,0,-0.5,0,5.06,0,2,87.0,0,0.74,0,2,-2.6,0,1001.4,0,1015.4,0,2.0,0,1.2,0,2013-04-23
24643,2005,4,24,0,2005,4,114,0,4,9,8,20,4,95.0,0,0.0,10.0,0,10.0,0,8.0,0,8.0,0,2.0,0,0.0,0,0.0,0,700.0,0,1.0,0.0,7,4.0,0,8.0,0,86.0,0,325.0,0,3.0,0,0,9.0,0,0,3.5,0,-7.5,0,-7.5,0,-7.5,0,-3.2,0,-7.2,0,-7.0,0,-7.8,0,1,-6.9,0,-7.0,0,-1.4,0,-6.8,0,2.59,0,2,72.0,0,1.03,0,2,-11.3,0,996.4,0,1006.2,0,3.0,0,2.4,0,2005-04-24
24671,2003,4,23,0,2003,4,113,0,4,9,8,20,4,95.0,0,0.0,10.0,0,10.0,0,8.0,0,8.0,0,2.0,0,0.0,0,0.0,0,800.0,0,1.0,0.0,7,3.0,0,8.0,0,86.0,0,350.0,0,2.0,0,0,5.0,0,0,0.7,0,-7.6,0,-7.6,0,-9.6,0,-6.5,0,-7.3,0,-6.7,0,-6.7,0,1,-6.6,0,-6.8,0,-4.1,0,-6.6,0,3.47,0,2,94.0,0,0.23,0,2,-7.5,0,952.4,0,1002.5,0,8.0,0,1.4,0,2003-04-23
24671,2005,4,25,0,2005,4,115,0,4,9,8,20,4,96.0,0,0.0,10.0,0,10.0,0,8.0,0,8.0,0,2.0,0,2.0,0,0.0,0,800.0,0,1.0,0.0,7,3.0,0,8.0,0,85.0,0,170.0,0,3.0,0,0,9.0,0,0,0.6,0,-6.0,0,-6.1,0,-8.4,0,-6.0,0,-6.0,0,-4.2,0,-5.2,0,1,-4.2,0,-4.7,0,-2.1,0,-4.0,0,3.24,0,2,72.0,0,1.24,0,2,-8.4,0,950.9,0,1000.5,0,3.0,0,2.8,0,2005-04-25
24671,2005,4,27,0,2005,4,117,0,4,9,8,20,4,96.0,0,0.0,10.0,0,10.0,0,8.0,0,8.0,0,2.0,0,0.0,0,0.0,0,700.0,0,1.0,0.0,7,3.0,0,8.0,0,85.0,0,10.0,0,4.0,0,0,8.0,0,0,0.0,0,-6.7,0,-6.9,0,-7.9,0,-6.7,0,-6.7,0,-5.1,0,-6.0,0,1,-5.1,0,-5.1,0,-4.2,0,-4.9,0,3.05,0,2,73.0,0,1.13,0,2,-9.2,0,950.0,0,999.8,0,3.0,0,0.2,0,2005-04-27
24671,2013,4,26,0,2013,4,116,0,4,9,8,20,4,95.0,0,0.0,10.0,0,10.0,0,8.0,0,8.0,0,2.0,0,2.0,0,0.0,0,800.0,0,1.0,0.0,7,7.0,0,8.0,0,85.0,0,0.0,0,0.0,0,0,2.0,0,0,0.0,0,-8.9,0,-9.0,0,-13.1,0,-8.7,0,-8.7,0,-9.5,0,-9.9,0,1,-9.5,0,-10.0,0,-9.2,0,-9.2,0,2.34,0,2,79.0,0,0.64,0,2,-12.5,0,970.4,0,1022.0,0,2.0,0,2.6,0,2013-04-26
24713,1989,4,22,0,1989,4,112,3,4,8,7,20,4,95.0,0,0.0,10.0,0,10.0,0,8.0,0,8.0,0,2.0,0,2.0,0,0.0,0,600.0,0,1.0,0.0,7,8.0,0,8.0,0,86.0,0,100.0,0,3.0,0,0,12.0,0,0,1.1,0,-6.9,0,-6.9,0,-9.0,0,-6.2,0,-6.8,0,-5.7,0,-6.1,0,1,-5.7,0,-6.0,0,-4.4,0,-5.7,0,3.37,0,2,84.0,0,0.63,0,2,-7.9,0,970.7,0,1001.6,0,7.0,0,1.2,0,1989-04-22
24713,2005,4,25,0,2005,4,115,0,4,8,7,19,4,97.0,0,0.0,6.0,0,3.0,0,1.0,0,0.0,0,2.0,0,2.0,0,0.0,0,900.0,0,1.0,0.0,7,7.0,0,1.0,0,85.0,0,292.0,0,4.0,0,0,6.0,0,0,0.0,0,-2.5,0,-2.5,0,-5.5,0,-2.5,0,-2.5,0,-2.8,0,-4.3,0,1,-2.8,0,-3.8,0,-2.8,0,-2.8,0,3.21,0,2,65.0,0,1.76,0,2,-8.5,0,963.0,0,993.4,0,2.0,0,0.2,0,2005-04-25
24726,1989,4,24,0,1989,4,114,3,4,9,8,21,4,97.0,0,0.0,10.0,0,6.0,0,8.0,0,1.0,0,2.0,0,0.0,0,0.0,0,820.0,0,0.0,0.0,7,4.0,0,8.0,0,85.0,0,270.0,0,4.0,0,0,8.0,0,0,0.3,0,-5.6,0,-5.7,0,-11.4,0,-5.5,0,-5.5,0,-9.9,0,-10.5,0,1,-9.8,0,-10.1,0,-9.9,0,-9.9,0,2.06,0,2,72.0,0,0.82,0,2,-14.1,0,980.6,0,1025.6,0,2.0,0,1.2,0,1989-04-24
