,stage_avg,stage_min,stage_max,temp,water_code,ice_thickness,snow_height,place,discharge,year,month,day,delta_stage_max,station_id
1985-01-01,258.0,258.0,258.0,,16,,,,,1985.0,1.0,1.0,,3028
1985-01-02,258.0,258.0,258.0,,16,,,,,1985.0,1.0,2.0,0.0,3028
1985-01-03,255.0,255.0,255.0,,16,,,,,1985.0,1.0,3.0,-3.0,3028
1985-01-04,252.0,252.0,252.0,,16,,,,,1985.0,1.0,4.0,-3.0,3028
1985-01-05,251.0,251.0,251.0,,16,,,,,1985.0,1.0,5.0,-1.0,3028
1985-01-06,248.0,248.0,248.0,,16,,,,,1985.0,1.0,6.0,-3.0,3028
1985-01-07,243.0,243.0,243.0,,16,,,,,1985.0,1.0,7.0,-5.0,3028
1985-01-08,242.0,242.0,242.0,,16,,,,,1985.0,1.0,8.0,-1.0,3028
1985-01-09,242.0,242.0,242.0,,16,,,,,1985.0,1.0,9.0,0.0,3028
1985-01-10,239.0,239.0,239.0,,16,61.0,57.0,1.0,,1985.0,1.0,10.0,-3.0,3028
1985-01-11,238.0,238.0,238.0,,16,,,,,1985.0,1.0,11.0,-1.0,3028
1985-01-12,236.0,236.0,236.0,,16,,,,,1985.0,1.0,12.0,-2.0,3028
1985-01-13,234.0,234.0,234.0,,16,,,,,1985.0,1.0,13.0,-2.0,3028
1985-01-14,234.0,234.0,234.0,,16,,,,,1985.0,1.0,14.0,0.0,3028
1985-01-15,233.0,233.0,233.0,,16,,,,,1985.0,1.0,15.0,-1.0,3028
1985-01-16,232.0,232.0,232.0,,16,,,,,1985.0,1.0,16.0,-1.0,3028
1985-01-17,230.0,230.0,230.0,,16,,,,,1985.0,1.0,17.0,-2.0,3028
1985-01-18,230.0,230.0,230.0,,16,,,,,1985.0,1.0,18.0,0.0,3028
1985-01-19,226.0,226.0,226.0,,16,,,,,1985.0,1.0,19.0,-4.0,3028
1985-01-20,225.0,225.0,225.0,,16,68.0,60.0,1.0,,1985.0,1.0,20.0,-1.0,3028
1985-01-21,222.0,222.0,222.0,,16,,,,,1985.0,1.0,21.0,-3.0,3028
1985-01-22,219.0,219.0,219.0,,16,,,,,1985.0,1.0,22.0,-3.0,3028
