year,station_id,month,day,date,delta_stage_max,discharge,stage_avg,stage_min,stage_max,temp,water_code,ice_thickness,snow_height,place
1993,3019,5,146,1993-05-26,48.0,,184.0,170.0,198.0,12.6,29,,,
1993,3019,5,147,1993-05-27,35.0,,226.0,219.0,233.0,11.9,29,,,
1993,3019,5,148,1993-05-28,25.0,,252.0,245.0,258.0,11.7,29,,,
1993,3019,5,149,1993-05-29,4.0,,261.0,259.0,262.0,11.7,29,,,
1993,3019,5,150,1993-05-30,16.0,,275.0,271.0,278.0,12.0,29,,,
1993,3019,5,151,1993-05-31,0.0,,275.0,271.0,278.0,12.1,29,,,
1993,3019,6,152,1993-06-01,-16.0,,258.0,253.0,262.0,12.0,29,,,
1997,3019,5,146,1997-05-26,2.0,,317.0,307.0,327.0,11.5,29,,,
1997,3019,5,147,1997-05-27,-22.0,,298.0,290.0,305.0,10.4,29,,,
1997,3019,5,148,1997-05-28,-20.0,,285.0,285.0,285.0,9.2,29,,,
1997,3019,5,149,1997-05-29,10.0,,295.0,295.0,295.0,10.3,29,,,
1997,3019,5,150,1997-05-30,31.0,,317.0,307.0,326.0,10.2,29,,,
1997,3019,5,151,1997-05-31,-2.0,,317.0,309.0,324.0,10.3,29,,,
1997,3019,6,152,1997-06-01,-27.0,,285.0,272.0,297.0,10.8,29,,,
2001,3019,5,146,2001-05-26,-20.0,,423.0,419.0,426.0,8.65,29,,,
2001,3019,5,147,2001-05-27,-6.0,,417.0,414.0,420.0,8.6,29,,,
2001,3019,5,148,2001-05-28,13.0,,431.0,429.0,433.0,10.25,29,,,
2001,3019,5,149,2001-05-29,2.0,,432.0,429.0,435.0,11.3,29,,,
2001,3019,5,150,2001-05-30,-23.0,,397.0,381.0,412.0,11.9,29,,,
2001,3019,5,151,2001-05-31,-41.0,,368.0,364.0,371.0,13.4,29,,,
2001,3019,6,152,2001-06-01,-10.0,,350.0,339.0,361.0,13.2,29,,,
2012,3019,5,147,2012-05-26,10.0,,214.0,204.0,224.0,9.2,29,,,
2012,3019,5,148,2012-05-27,6.0,,230.0,230.0,230.0,9.0,29,,,
2012,3019,5,149,2012-05-28,4.0,,234.0,234.0,234.0,8.8,29,,,
2012,3019,5,150,2012-05-29,-10.0,,219.0,214.0,224.0,9.1,29,,,
2012,3019,5,151,2012-05-30,-20.0,,199.0,194.0,204.0,9.4,29,,,
