wind_direction,wind_speed_aver,precipitation,station_id,date
16.0,0.2,0.11,3029.0,1985-01-01
0.0,0.0,0.0,3029.0,1985-01-02
30.0,0.1,0.0,3029.0,1985-01-03
27.0,0.1,0.02,3029.0,1985-01-04
61.0,0.2,0.0,3029.0,1985-01-05
113.0,1.8,0.06000000000000001,3029.0,1985-01-06
81.0,1.5,0.2,3029.0,1985-01-07
105.0,1.2,0.04,3029.0,1985-01-08
145.0,1.2,0.04,3029.0,1985-01-09
94.0,0.4,0.08,3029.0,1985-01-10
55.0,0.6,0.05,3029.0,1985-01-11
72.0,1.1,0.18,3029.0,1985-01-12
21.0,0.1,0.04,3029.0,1985-01-13
32.0,0.2,0.06999999999999999,3029.0,1985-01-14
93.0,1.0,0.0,3029.0,1985-01-15
100.0,2.7,0.16,3029.0,1985-01-16
19.0,0.4,0.11,3029.0,1985-01-17
10.0,0.1,0.2,3029.0,1985-01-18
224.0,0.9,0.05,3029.0,1985-01-19
92.0,0.9,0.12,3029.0,1985-01-20
183.0,3.3,0.05,3029.0,1985-01-21
116.0,1.0,0.05,3029.0,1985-01-22
64.0,0.6,0.05,3029.0,1985-01-23
44.0,0.3,0.03,3029.0,1985-01-24
119.0,0.9,0.02,3029.0,1985-01-25
271.0,2.0,0.08,3029.0,1985-01-26
42.0,0.3,0.0,3029.0,1985-01-27
0.0,0.0,0.0,3029.0,1985-01-28
29.0,0.6,0.29,3029.0,1985-01-29
175.0,3.1,0.19,3029.0,1985-01-30
117.0,0.7,0.02,3029.0,1985-01-31
136.0,1.4,0.12999999999999998,3029.0,1985-02-01
85.0,0.8,0.08,3029.0,1985-02-02
35.0,0.3,0.04,3029.0,1985-02-03
168.0,1.4,0.13,3029.0,1985-02-04
71.0,0.8,0.02,3029.0,1985-02-05
86.0,1.2,0.08,3029.0,1985-02-06
79.0,0.6,0.04,3029.0,1985-02-07
27.0,0.2,0.0,3029.0,1985-02-08
24.0,0.2,0.0,3029.0,1985-02-09
110.0,1.0,0.06999999999999999,3029.0,1985-02-10
7.0,0.2,0.0,3029.0,1985-02-11
0.0,0.0,0.0,3029.0,1985-02-12
55.0,0.2,0.02,3029.0,1985-02-13
59.0,0.3,0.0,3029.0,1985-02-14
51.0,0.4,0.06,3029.0,1985-02-15
100.0,1.0,0.05,3029.0,1985-02-16
52.0,0.9,0.0,3029.0,1985-02-17
0.0,0.0,0.0,3029.0,1985-02-18
56.0,0.5,0.14,3029.0,1985-02-19
86.0,1.7,0.08,3029.0,1985-02-20
103.0,1.9,0.0,3029.0,1985-02-21
9.0,0.1,0.0,3029.0,1985-02-22
9.0,0.1,0.0,3029.0,1985-02-23
9.0,0.2,0.0,3029.0,1985-02-24
28.0,0.3,0.0,3029.0,1985-02-25
50.0,0.3,0.0,3029.0,1985-02-26
10.0,0.1,0.0,3029.0,1985-02-27
0.0,0.0,0.0,3029.0,1985-02-28
31.0,0.1,0.0,3029.0,1985-03-01
62.0,0.2,0.0,3029.0,1985-03-02
149.0,4.4,0.02,3029.0,1985-03-03
211.0,7.1,0.38,3029.0,1985-03-04
259.0,4.4,0.19,3029.0,1985-03-05
228.0,2.2,0.03,3029.0,1985-03-06
186.0,2.3,0.04,3029.0,1985-03-07
205.0,5.3,0.06999999999999999,3029.0,1985-03-08
181.0,3.5,0.28,3029.0,1985-03-09
265.0,4.6,0.03,3029.0,1985-03-10
146.0,3.1,0.0,3029.0,1985-03-11
224.0,5.5,0.2,3029.0,1985-03-12
227.0,5.6,0.06000000000000001,3029.0,1985-03-13
207.0,5.8,0.0,3029.0,1985-03-14
188.0,3.2,0.0,3029.0,1985-03-15
144.0,1.3,0.0,3029.0,1985-03-16
161.0,3.2,0.12999999999999998,3029.0,1985-03-17
176.0,3.6,0.08,3029.0,1985-03-18
224.0,4.8,0.04,3029.0,1985-03-19
137.0,2.7,0.0,3029.0,1985-03-20
108.0,2.2,0.15,3029.0,1985-03-21
95.0,2.0,0.03,3029.0,1985-03-22
191.0,3.9,0.06,3029.0,1985-03-23
238.0,3.1,0.0,3029.0,1985-03-24
101.0,2.5,0.0,3029.0,1985-03-25
179.0,3.3,0.16999999999999998,3029.0,1985-03-26
222.0,3.8,0.1,3029.0,1985-03-27
175.0,3.2,0.05,3029.0,1985-03-28
137.0,2.4,0.08,3029.0,1985-03-29
131.0,2.8,0.03,3029.0,1985-03-30
