station_id,date,stage_avg,stage_min,stage_max,temp,water_code,ice_thickness,snow_height,place,discharge,year,month,day,delta_stage_max
3230,1985-01-01,150.0,150.0,150.0,,15,,,,,1985,1,1,
3230,1985-01-02,149.0,149.0,149.0,,15,,,,,1985,1,2,-1.0
3230,1985-01-03,148.0,148.0,148.0,,15,,,,,1985,1,3,-1.0
3230,1985-01-04,146.0,146.0,146.0,,15,,,,,1985,1,4,-2.0
3230,1985-01-05,144.0,144.0,144.0,,15,,,,,1985,1,5,-2.0
3230,1985-01-06,142.0,142.0,142.0,,15,,,,,1985,1,6,-2.0
3230,1985-01-07,140.0,140.0,140.0,,15,,,,,1985,1,7,-2.0
3230,1985-01-08,138.0,138.0,138.0,,15,,,,,1985,1,8,-2.0
3230,1985-01-09,136.0,136.0,136.0,,15,,,,,1985,1,9,-2.0
3230,1985-01-10,134.0,134.0,134.0,,15,88.0,17.0,1.0,,1985,1,10,-2.0
3230,1985-01-11,133.0,133.0,133.0,,15,,,,,1985,1,11,-1.0
3230,1985-01-12,131.0,131.0,131.0,,15,,,,,1985,1,12,-2.0
3230,1985-01-13,129.0,129.0,129.0,,15,,,,,1985,1,13,-2.0
3230,1985-01-14,128.0,128.0,128.0,,15,,,,,1985,1,14,-1.0
3230,1985-01-15,126.0,126.0,126.0,,15,,,,,1985,1,15,-2.0
3230,1985-01-16,125.0,125.0,125.0,,15,,,,,1985,1,16,-1.0
3230,1985-01-17,124.0,124.0,124.0,,16,,,,,1985,1,17,-1.0
3230,1985-01-18,123.0,123.0,123.0,,16,,,,,1985,1,18,-1.0
3230,1985-01-19,121.0,121.0,121.0,,16,,,,,1985,1,19,-2.0
3230,1985-01-20,118.0,118.0,118.0,,16,95.0,19.0,1.0,,1985,1,20,-3.0
3230,1985-01-21,118.0,118.0,118.0,,16,,,,,1985,1,21,0.0
3230,1985-01-22,116.0,116.0,116.0,,16,,,,,1985,1,22,-2.0
3230,1985-01-23,114.0,114.0,114.0,,16,,,,,1985,1,23,-2.0
3230,1985-01-24,113.0,113.0,113.0,,16,,,,,1985,1,24,-1.0
3230,1985-01-25,111.0,111.0,111.0,,16,,,,,1985,1,25,-2.0
3230,1985-01-26,111.0,111.0,111.0,,16,,,,,1985,1,26,0.0
3230,1985-01-27,111.0,111.0,111.0,,16,,,,,1985,1,27,0.0
3230,1985-01-28,109.0,109.0,109.0,,16,,,,,1985,1,28,-2.0
3230,1985-01-29,107.0,107.0,107.0,,16,,,,,1985,1,29,-2.0
3230,1985-01-30,106.0,106.0,106.0,,16,,,,,1985,1,30,-1.0
3230,1985-01-31,105.0,105.0,105.0,,16,99.0,20.0,1.0,,1985,1,31,-1.0
3230,1985-02-01,102.0,102.0,102.0,,16,,,,,1985,2,32,-3.0
3230,1985-02-02,98.0,98.0,98.0,,16,,,,,1985,2,33,-4.0
3230,1985-02-03,97.0,97.0,97.0,,16,,,,,1985,2,34,-1.0
3230,1985-02-04,99.0,99.0,99.0,,16,,,,,1985,2,35,2.0
3230,1985-02-05,96.0,96.0,96.0,,16,,,,,1985,2,36,-3.0
3230,1985-02-06,95.0,95.0,95.0,,16,,,,,1985,2,37,-1.0
3230,1985-02-07,94.0,94.0,94.0,,16,,,,,1985,2,38,-1.0
3230,1985-02-08,94.0,94.0,94.0,,16,,,,,1985,2,39,0.0
3230,1985-02-09,94.0,94.0,94.0,,16,,,,,1985,2,40,0.0
3230,1985-02-10,93.0,93.0,93.0,,16,100.0,24.0,1.0,,1985,2,41,-1.0
3230,1985-02-11,93.0,93.0,93.0,,16,,,,,1985,2,42,0.0
3230,1985-02-12,93.0,93.0,93.0,,16,,,,,1985,2,43,0.0
3230,1985-02-13,93.0,93.0,93.0,,16,,,,,1985,2,44,0.0
3230,1985-02-14,92.0,92.0,92.0,,16,,,,,1985,2,45,-1.0
3230,1985-02-15,92.0,92.0,92.0,,16,,,,,1985,2,46,0.0
3230,1985-02-16,92.0,92.0,92.0,,16,,,,,1985,2,47,0.0
3230,1985-02-17,92.0,92.0,92.0,,16,,,,,1985,2,48,0.0
3230,1985-02-18,90.0,90.0,90.0,,16,,,,,1985,2,49,-2.0
3230,1985-02-19,89.0,89.0,89.0,,16,,,,,1985,2,50,-1.0
3230,1985-02-20,88.0,88.0,88.0,,16,115.0,21.0,1.0,,1985,2,51,-1.0
3230,1985-02-21,88.0,88.0,88.0,,16,,,,,1985,2,52,0.0
3230,1985-02-22,87.0,87.0,87.0,,16,,,,,1985,2,53,-1.0
3230,1985-02-23,87.0,87.0,87.0,,16,,,,,1985,2,54,0.0
3230,1985-02-24,87.0,87.0,87.0,,16,,,,,1985,2,55,0.0
3230,1985-02-25,87.0,87.0,87.0,,16,,,,,1985,2,56,0.0
3230,1985-02-26,87.0,87.0,87.0,,16,,,,,1985,2,57,0.0
3230,1985-02-27,86.0,86.0,86.0,,16,,,,,1985,2,58,-1.0
