air_temperature,relative_humidity,pressure,station_id,date
-26.4,79.0,999.1,3029,1985-01-01
-36.1,75.0,1011.2,3029,1985-01-02
-34.6,75.0,1021.2,3029,1985-01-03
-39.8,74.0,1018.0,3029,1985-01-04
-37.8,74.0,1021.6,3029,1985-01-05
-36.4,74.0,1018.9,3029,1985-01-06
-26.6,76.0,1005.0,3029,1985-01-07
-31.3,77.0,1002.6,3029,1985-01-08
-43.0,72.0,1003.8,3029,1985-01-09
-35.5,75.0,993.9,3029,1985-01-10
-43.5,71.0,1013.0,3029,1985-01-11
-44.7,72.0,1015.8,3029,1985-01-12
-42.8,72.0,1005.5,3029,1985-01-13
-38.5,74.0,994.9,3029,1985-01-14
-46.8,71.0,1006.6,3029,1985-01-15
-42.9,71.0,1001.4,3029,1985-01-16
-27.1,77.0,990.4,3029,1985-01-17
-25.9,77.0,994.3,3029,1985-01-18
-31.3,78.0,1002.8,3029,1985-01-19
-28.3,76.0,996.1,3029,1985-01-20
-25.6,80.0,998.6,3029,1985-01-21
-29.7,80.0,1004.9,3029,1985-01-22
-31.6,76.0,1012.2,3029,1985-01-23
-39.3,73.0,1010.8,3029,1985-01-24
-42.0,73.0,1007.3,3029,1985-01-25
-37.6,73.0,1012.8,3029,1985-01-26
-41.5,72.0,1019.6,3029,1985-01-27
-45.1,70.0,1021.7,3029,1985-01-28
-34.3,75.0,1004.4,3029,1985-01-29
-17.5,84.0,993.7,3029,1985-01-30
-18.3,73.0,986.1,3029,1985-01-31
-29.9,76.0,985.3,3029,1985-02-01
-33.6,77.0,987.6,3029,1985-02-02
-36.2,75.0,986.0,3029,1985-02-03
-33.7,76.0,984.7,3029,1985-02-04
-40.6,73.0,996.1,3029,1985-02-05
-31.6,75.0,1001.3,3029,1985-02-06
-32.9,76.0,1000.7,3029,1985-02-07
-41.6,72.0,998.9,3029,1985-02-08
-43.6,71.0,1000.4,3029,1985-02-09
-38.4,73.0,1011.4,3029,1985-02-10
-36.2,74.0,1008.4,3029,1985-02-11
-44.0,70.0,1010.1,3029,1985-02-12
-42.8,70.0,1010.4,3029,1985-02-13
-40.5,71.0,1011.5,3029,1985-02-14
-44.1,70.0,1017.7,3029,1985-02-15
-36.5,74.0,1020.3,3029,1985-02-16
-29.8,75.0,1022.9,3029,1985-02-17
-39.2,73.0,1021.4,3029,1985-02-18
-35.0,75.0,1019.2,3029,1985-02-19
-28.6,79.0,1013.3,3029,1985-02-20
-32.7,77.0,1015.8,3029,1985-02-21
-35.2,75.0,1015.3,3029,1985-02-22
-37.1,75.0,1012.7,3029,1985-02-23
-33.7,75.0,1014.0,3029,1985-02-24
-34.4,74.0,1012.2,3029,1985-02-25
-36.2,74.0,1014.5,3029,1985-02-26
-33.7,75.0,1018.1,3029,1985-02-27
-29.1,79.0,1012.1,3029,1985-02-28
-29.6,78.0,1009.1,3029,1985-03-01
-25.0,79.0,1010.7,3029,1985-03-02
-26.6,80.0,1014.0,3029,1985-03-03
-15.2,68.0,1002.6,3029,1985-03-04
-14.8,77.0,985.8,3029,1985-03-05
-19.5,67.0,987.0,3029,1985-03-06
-28.6,70.0,998.1,3029,1985-03-07
-30.2,63.0,1014.6,3029,1985-03-08
-22.2,70.0,1000.2,3029,1985-03-09
-17.6,83.0,994.3,3029,1985-03-10
-27.2,67.0,1002.9,3029,1985-03-11
-15.4,80.0,996.1,3029,1985-03-12
-6.1,71.0,996.5,3029,1985-03-13
-6.1,73.0,1002.4,3029,1985-03-14
-9.6,66.0,1003.0,3029,1985-03-15
-13.7,89.0,999.8,3029,1985-03-16
-13.3,89.0,999.6,3029,1985-03-17
-10.2,96.0,997.3,3029,1985-03-18
-10.0,73.0,991.3,3029,1985-03-19
-18.1,60.0,1004.5,3029,1985-03-20
-12.1,82.0,988.1,3029,1985-03-21
-7.2,96.0,982.0,3029,1985-03-22
-4.5,79.0,971.0,3029,1985-03-23
-15.3,84.0,987.9,3029,1985-03-24
-28.2,69.0,996.7,3029,1985-03-25
-7.2,93.0,979.3,3029,1985-03-26
-4.0,96.0,976.8,3029,1985-03-27
-22.6,68.0,999.3,3029,1985-03-28
-24.3,83.0,1001.9,3029,1985-03-29
-0.8,89.0,989.6,3029,1985-03-30
-5.1,61.0,983.7,3029,1985-03-31
-9.9,40.0,993.0,3029,1985-04-01
-22.9,60.0,1005.5,3029,1985-04-02
3.4,37.0,979.3,3029,1985-04-03
-1.8,79.0,983.6,3029,1985-04-04
-12.7,35.0,988.5,3029,1985-04-05
-6.4,81.0,984.1,3029,1985-04-06
-14.7,85.0,1001.6,3029,1985-04-07
-15.5,75.0,1007.6,3029,1985-04-08
-18.0,72.0,1005.8,3029,1985-04-09
-16.2,80.0,999.6,3029,1985-04-10
-0.7,93.0,986.9,3029,1985-04-11
0.1,90.0,994.8,3029,1985-04-12
-0.3,58.0,999.0,3029,1985-04-13
0.8,81.0,1000.0,3029,1985-04-14
-1.2,87.0,1000.9,3029,1985-04-15
-0.9,83.0,995.3,3029,1985-04-16
2.6,77.0,987.5,3029,1985-04-17
-1.8,89.0,991.6,3029,1985-04-18
0.9,79.0,984.2,3029,1985-04-19
1.9,95.0,989.1,3029,1985-04-20
0.6,90.0,993.7,3029,1985-04-21
0.0,92.0,990.4,3029,1985-04-22
0.5,100.0,984.9,3029,1985-04-23
-0.8,96.0,984.2,3029,1985-04-24
-0.6,93.0,995.4,3029,1985-04-25
-0.3,72.0,989.8,3029,1985-04-26
1.0,88.0,981.3,3029,1985-04-27
-2.0,83.0,988.0,3029,1985-04-28
1.6,76.0,978.0,3029,1985-04-29
0.5,98.0,985.3,3029,1985-04-30
1.3,98.0,987.7,3029,1985-05-01
3.2,79.0,987.6,3029,1985-05-02
3.6,86.0,987.4,3029,1985-05-03
1.6,96.0,990.4,3029,1985-05-04
1.5,81.0,987.1,3029,1985-05-05
5.1,81.0,986.6,3029,1985-05-06
5.1,60.0,986.4,3029,1985-05-07
6.3,53.0,976.2,3029,1985-05-08
3.2,50.0,976.8,3029,1985-05-09
4.7,51.0,972.9,3029,1985-05-10
2.5,40.0,988.6,3029,1985-05-11
4.6,56.0,992.9,3029,1985-05-12
0.5,96.0,993.6,3029,1985-05-13
4.0,74.0,991.3,3029,1985-05-14
10.4,58.0,984.1,3029,1985-05-15
2.0,96.0,991.6,3029,1985-05-16
2.4,77.0,994.1,3029,1985-05-17
5.5,40.0,992.3,3029,1985-05-18
14.7,37.0,981.2,3029,1985-05-19
6.9,80.0,977.8,3029,1985-05-20
1.7,89.0,982.1,3029,1985-05-21
3.7,62.0,983.7,3029,1985-05-22
3.2,95.0,973.5,3029,1985-05-23
3.4,50.0,993.5,3029,1985-05-24
2.9,81.0,994.4,3029,1985-05-25
-0.9,69.0,991.4,3029,1985-05-26
6.8,37.0,987.9,3029,1985-05-27
9.9,55.0,987.3,3029,1985-05-28
10.9,38.0,990.0,3029,1985-05-29
7.3,74.0,988.7,3029,1985-05-30
8.8,64.0,985.2,3029,1985-05-31
10.8,93.0,984.9,3029,1985-06-01
13.4,69.0,984.1,3029,1985-06-02
13.7,72.0,984.4,3029,1985-06-03
11.1,65.0,994.2,3029,1985-06-04
11.2,62.0,987.8,3029,1985-06-05
11.0,46.0,987.1,3029,1985-06-06
12.5,55.0,982.3,3029,1985-06-07
13.1,39.0,981.8,3029,1985-06-08
10.9,68.0,981.0,3029,1985-06-09
12.5,82.0,983.9,3029,1985-06-10
9.2,67.0,991.7,3029,1985-06-11
11.4,65.0,991.1,3029,1985-06-12
15.7,71.0,986.9,3029,1985-06-13
15.7,71.0,982.0,3029,1985-06-14
18.4,52.0,980.8,3029,1985-06-15
18.7,45.0,981.1,3029,1985-06-16
18.6,49.0,980.4,3029,1985-06-17
19.0,55.0,982.7,3029,1985-06-18
16.8,63.0,985.5,3029,1985-06-19
17.8,61.0,989.6,3029,1985-06-20
11.5,70.0,990.2,3029,1985-06-21
12.4,72.0,987.4,3029,1985-06-22
13.8,72.0,981.7,3029,1985-06-23
16.1,72.0,977.6,3029,1985-06-24
16.9,81.0,976.8,3029,1985-06-25
18.1,73.0,981.3,3029,1985-06-26
16.3,57.0,988.0,3029,1985-06-27
16.0,68.0,987.8,3029,1985-06-28
16.5,75.0,987.2,3029,1985-06-29
18.9,76.0,985.0,3029,1985-06-30
19.1,79.0,982.4,3029,1985-07-01
23.6,52.0,981.2,3029,1985-07-02
21.2,60.0,985.1,3029,1985-07-03
15.0,43.0,993.8,3029,1985-07-04
15.1,41.0,990.6,3029,1985-07-05
9.6,93.0,980.5,3029,1985-07-06
17.2,84.0,973.9,3029,1985-07-07
12.4,89.0,978.5,3029,1985-07-08
11.2,85.0,983.2,3029,1985-07-09
19.5,48.0,974.0,3029,1985-07-10
13.1,82.0,974.2,3029,1985-07-11
13.7,78.0,974.1,3029,1985-07-12
8.5,84.0,985.0,3029,1985-07-13
10.8,78.0,991.4,3029,1985-07-14
18.8,54.0,990.6,3029,1985-07-15
15.9,68.0,988.4,3029,1985-07-16
16.2,79.0,982.5,3029,1985-07-17
15.6,71.0,979.4,3029,1985-07-18
16.1,70.0,978.6,3029,1985-07-19
13.6,88.0,982.4,3029,1985-07-20
11.2,75.0,986.5,3029,1985-07-21
12.5,77.0,987.8,3029,1985-07-22
13.3,85.0,985.5,3029,1985-07-23
17.1,84.0,983.8,3029,1985-07-24
15.0,66.0,988.8,3029,1985-07-25
12.5,73.0,990.1,3029,1985-07-26
11.9,75.0,991.2,3029,1985-07-27
8.7,81.0,995.9,3029,1985-07-28
14.1,68.0,991.3,3029,1985-07-29
14.9,74.0,986.6,3029,1985-07-30
12.0,72.0,987.0,3029,1985-07-31
13.9,47.0,988.6,3029,1985-08-01
13.8,47.0,990.3,3029,1985-08-02
16.2,42.0,986.2,3029,1985-08-03
13.6,85.0,984.3,3029,1985-08-04
15.0,85.0,984.0,3029,1985-08-05
15.6,94.0,985.2,3029,1985-08-06
12.2,92.0,986.1,3029,1985-08-07
10.1,98.0,984.9,3029,1985-08-08
13.7,93.0,984.3,3029,1985-08-09
9.5,80.0,989.6,3029,1985-08-10
14.6,66.0,981.2,3029,1985-08-11
17.5,62.0,976.4,3029,1985-08-12
15.1,83.0,984.1,3029,1985-08-13
12.1,95.0,983.4,3029,1985-08-14
16.1,79.0,982.6,3029,1985-08-15
8.1,98.0,989.4,3029,1985-08-16
16.6,79.0,986.7,3029,1985-08-17
17.1,71.0,983.9,3029,1985-08-18
17.4,85.0,978.0,3029,1985-08-19
11.9,96.0,981.5,3029,1985-08-20
12.6,96.0,984.5,3029,1985-08-21
8.4,88.0,991.6,3029,1985-08-22
5.9,94.0,991.7,3029,1985-08-23
7.0,92.0,990.8,3029,1985-08-24
7.8,96.0,990.1,3029,1985-08-25
10.4,96.0,992.1,3029,1985-08-26
6.9,94.0,994.6,3029,1985-08-27
6.4,91.0,989.4,3029,1985-08-28
9.0,91.0,983.7,3029,1985-08-29
10.1,91.0,985.7,3029,1985-08-30
5.6,91.0,989.8,3029,1985-08-31
14.5,82.0,978.8,3029,1985-09-01
3.9,90.0,990.6,3029,1985-09-02
4.8,92.0,990.3,3029,1985-09-03
9.2,92.0,985.5,3029,1985-09-04
6.7,97.0,988.9,3029,1985-09-05
7.1,92.0,993.1,3029,1985-09-06
8.4,93.0,988.4,3029,1985-09-07
7.7,89.0,982.9,3029,1985-09-08
5.9,100.0,988.4,3029,1985-09-09
7.5,92.0,995.7,3029,1985-09-10
7.4,96.0,997.6,3029,1985-09-11
8.0,97.0,999.5,3029,1985-09-12
7.1,92.0,999.3,3029,1985-09-13
5.0,89.0,1001.5,3029,1985-09-14
5.6,97.0,988.4,3029,1985-09-15
7.1,100.0,985.4,3029,1985-09-16
0.3,84.0,1000.2,3029,1985-09-17
0.6,100.0,995.9,3029,1985-09-18
0.0,98.0,997.4,3029,1985-09-19
-0.1,100.0,1000.9,3029,1985-09-20
