date,stage_max_amplitude,stage_max_mean,snow_coverage_station_amplitude,snow_height_mean,snow_height_amplitude,water_hazard_sum,1_day,2_day,3_day,4_day,5_day,6_day,7_day
1985-01-01,0.0,-23.0,0.0,41.0,0.0,0,-23.0,-23.0,-24.0,-24.0,-24.0,-24.0,-24.0
1985-01-02,0.0,-23.0,0.0,41.0,0.0,0,-23.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0
1985-01-03,0.0,-23.0,0.0,41.0,0.0,0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0
1985-01-04,1.0,-23.25,0.0,41.125,-0.5,0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0
1985-01-05,1.0,-23.4,0.0,41.2,-0.5,0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0
1985-01-06,1.0,-23.6,0.0,41.25,-0.5,0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0
1985-01-07,1.0,-23.8,0.0,41.285714285714285,-0.5,0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0
1985-01-08,1.0,-24.0,0.0,41.4375,-1.5,0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-25.0
1985-01-09,1.0,-24.0,0.0,41.55555555555556,-1.5,0,-24.0,-24.0,-24.0,-24.0,-24.0,-25.0,-26.0
1985-01-10,1.0,-24.0,0.0,41.65,-1.5,0,-24.0,-24.0,-24.0,-24.0,-25.0,-26.0,-26.0
1985-01-11,0.0,-24.0,0.0,41.72727272727273,-1.5,0,-24.0,-24.0,-24.0,-25.0,-26.0,-26.0,-26.0
1985-01-12,0.0,-24.0,0.0,41.791666666666664,-1.5,0,-24.0,-24.0,-25.0,-26.0,-26.0,-26.0,-26.0
1985-01-13,0.0,-24.0,0.0,41.88461538461539,-2.0,0,-24.0,-25.0,-26.0,-26.0,-26.0,-26.0,-27.0
1985-01-14,0.0,-24.0,0.0,42.0,-2.5,0,-25.0,-26.0,-26.0,-26.0,-26.0,-27.0,-27.0
1985-01-15,1.0,-24.2,0.0,42.1,-2.5,0,-26.0,-26.0,-26.0,-26.0,-27.0,-27.0,-27.0
1985-01-16,2.0,-24.6,0.0,42.1875,-2.5,0,-26.0,-26.0,-26.0,-27.0,-27.0,-27.0,-27.0
1985-01-17,2.0,-25.0,0.0,42.5,-5.0,0,-26.0,-26.0,-27.0,-27.0,-27.0,-27.0,-27.0
1985-01-18,2.0,-25.4,0.0,42.875,-6.0,0,-26.0,-27.0,-27.0,-27.0,-27.0,-27.0,-28.0
1985-01-19,2.0,-25.8,0.0,43.28125,-6.5,0,-27.0,-27.0,-27.0,-27.0,-27.0,-28.0,-28.0
1985-01-20,3.0,-26.2,0.0,43.65625,-6.5,0,-27.0,-27.0,-27.0,-27.0,-28.0,-28.0,-28.0
1985-01-21,3.0,-26.4,0.0,44.03125,-6.5,0,-27.0,-27.0,-27.0,-28.0,-28.0,-28.0,-28.0
1985-01-22,2.0,-26.6,0.0,44.40625,-6.5,0,-27.0,-27.0,-28.0,-28.0,-28.0,-28.0,-28.0
1985-01-23,1.0,-26.8,0.0,44.78125,-6.5,0,-27.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0
1985-01-24,1.0,-27.0,0.0,45.125,-7.0,0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0
1985-01-25,2.0,-27.2,0.0,45.625,-9.5,0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0
1985-01-26,2.0,-27.4,0.0,46.09375,-9.0,0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0
1985-01-27,1.0,-27.6,0.0,46.5625,-9.0,0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0
1985-01-28,1.0,-27.8,0.0,47.03125,-9.0,0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0
1985-01-29,1.0,-28.0,0.0,48.0625,-18.5,0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0
1985-01-30,1.0,-28.0,0.0,49.0,-17.5,0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0
1985-01-31,1.0,-28.0,0.0,49.8125,-15.5,0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0
1985-02-01,0.0,-28.0,0.0,50.9375,-20.5,0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0
1985-02-02,0.0,-28.0,0.0,51.84375,-19.5,0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0
1985-02-03,0.0,-28.0,0.0,52.625,-18.0,0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0
1985-02-04,0.0,-28.0,0.0,53.375,-18.0,0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-27.0
1985-02-05,0.0,-28.0,0.0,54.0625,-17.0,0,-28.0,-28.0,-28.0,-28.0,-28.0,-27.0,-27.0
1985-02-06,0.0,-28.0,0.0,54.71875,-16.5,0,-28.0,-28.0,-28.0,-28.0,-27.0,-27.0,-26.0
1985-02-07,0.0,-28.0,0.0,55.34375,-15.0,0,-28.0,-28.0,-28.0,-27.0,-27.0,-26.0,-25.0
1985-02-08,0.0,-28.0,0.0,55.9375,-14.5,0,-28.0,-28.0,-27.0,-27.0,-26.0,-25.0,-24.0
1985-02-09,0.0,-28.0,0.0,56.5,-14.5,0,-28.0,-27.0,-27.0,-26.0,-25.0,-24.0,-24.0
1985-02-10,0.0,-28.0,0.0,56.90625,-14.5,0,-27.0,-27.0,-26.0,-25.0,-24.0,-24.0,-23.0
1985-02-11,1.0,-27.8,0.0,57.3125,-14.0,0,-27.0,-26.0,-25.0,-24.0,-24.0,-23.0,-23.0
1985-02-12,1.0,-27.6,0.0,57.71875,-13.5,0,-26.0,-25.0,-24.0,-24.0,-23.0,-23.0,-23.0
1985-02-13,2.0,-27.2,0.0,58.125,-13.0,0,-25.0,-24.0,-24.0,-23.0,-23.0,-23.0,-23.0
1985-02-14,3.0,-26.6,0.0,57.9375,-13.0,0,-24.0,-24.0,-23.0,-23.0,-23.0,-23.0,-24.0
1985-02-15,4.0,-25.8,0.0,57.8125,-13.0,0,-24.0,-23.0,-23.0,-23.0,-23.0,-24.0,-24.0
1985-02-16,4.0,-25.2,0.0,57.8125,-10.5,0,-23.0,-23.0,-23.0,-23.0,-24.0,-24.0,-24.0
1985-02-17,5.0,-24.4,0.0,57.5,-9.5,0,-23.0,-23.0,-23.0,-24.0,-24.0,-24.0,-25.0
1985-02-18,4.0,-23.8,0.0,57.25,-9.0,0,-23.0,-23.0,-24.0,-24.0,-24.0,-25.0,-25.0
1985-02-19,4.0,-23.4,0.0,57.0625,-9.0,0,-23.0,-24.0,-24.0,-24.0,-25.0,-25.0,-26.0
1985-02-20,3.0,-23.2,0.0,56.90625,-9.5,0,-24.0,-24.0,-24.0,-25.0,-25.0,-26.0,-26.0
1985-02-21,2.0,-23.2,0.0,56.8125,-9.5,0,-24.0,-24.0,-25.0,-25.0,-26.0,-26.0,-27.0
1985-02-22,1.0,-23.4,0.0,56.75,-9.5,0,-24.0,-25.0,-25.0,-26.0,-26.0,-27.0,-27.0
1985-02-23,1.0,-23.6,0.0,56.71875,-9.0,0,-25.0,-25.0,-26.0,-26.0,-27.0,-27.0,-28.0
1985-02-24,2.0,-24.0,0.0,56.71875,-6.5,0,-25.0,-26.0,-26.0,-27.0,-27.0,-28.0,-28.0
1985-02-25,2.0,-24.4,0.0,56.71875,-7.0,0,-26.0,-26.0,-27.0,-27.0,-28.0,-28.0,-29.0
1985-02-26,3.0,-24.8,0.0,56.6875,-6.5,0,-26.0,-27.0,-27.0,-28.0,-28.0,-29.0,-29.0
1985-02-27,3.0,-25.2,0.0,56.6875,-6.5,0,-27.0,-27.0,-28.0,-28.0,-29.0,-29.0,-30.0
1985-02-28,3.0,-25.8,0.0,56.6875,3.0,0,-27.0,-28.0,-28.0,-29.0,-29.0,-30.0,-30.0
1985-03-01,3.0,-26.2,0.0,56.6875,2.0,0,-28.0,-28.0,-29.0,-29.0,-30.0,-30.0,-30.0
