date,stage_max_amplitude,stage_max_mean,snow_coverage_station_amplitude,snow_height_mean,snow_height_amplitude,water_hazard_sum,1_day,2_day,3_day,4_day,5_day,6_day,7_day
1985-01-01,0.0,25.0,0.0,48.5,0.0,0,23.0,21.0,19.0,17.0,15.0,13.0,11.0
1985-01-02,2.0,24.0,0.0,48.75,-0.5,0,21.0,19.0,17.0,15.0,13.0,11.0,9.0
1985-01-03,4.0,23.0,0.0,48.833333333333336,-0.5,0,19.0,17.0,15.0,13.0,11.0,9.0,7.0
1985-01-04,6.0,22.0,0.0,48.875,-0.5,0,17.0,15.0,13.0,11.0,9.0,7.0,5.0
1985-01-05,8.0,21.0,0.0,48.9,-0.5,0,15.0,13.0,11.0,9.0,7.0,5.0,4.0
1985-01-06,10.0,19.0,0.0,48.916666666666664,-0.5,0,13.0,11.0,9.0,7.0,5.0,4.0,3.0
1985-01-07,12.0,17.0,0.0,49.142857142857146,-2.0,0,11.0,9.0,7.0,5.0,4.0,3.0,2.0
1985-01-08,14.0,15.0,0.0,49.3125,-2.0,0,9.0,7.0,5.0,4.0,3.0,2.0,1.0
1985-01-09,14.0,13.0,0.0,49.44444444444444,-2.0,0,7.0,5.0,4.0,3.0,2.0,1.0,0.0
1985-01-10,14.0,11.0,0.0,49.55,-2.0,0,5.0,4.0,3.0,2.0,1.0,0.0,-1.0
1985-01-11,14.0,9.0,0.0,49.63636363636363,-2.0,0,4.0,3.0,2.0,1.0,0.0,-1.0,-2.0
1985-01-12,13.0,7.2,0.0,49.75,-2.5,0,3.0,2.0,1.0,0.0,-1.0,-2.0,-3.0
1985-01-13,12.0,5.6,0.0,49.84615384615385,-2.5,0,2.0,1.0,0.0,-1.0,-2.0,-3.0,-4.0
1985-01-14,11.0,4.2,0.0,49.92857142857143,-2.5,0,1.0,0.0,-1.0,-2.0,-3.0,-4.0,-5.0
1985-01-15,10.0,3.0,0.0,50.0,-2.5,0,0.0,-1.0,-2.0,-3.0,-4.0,-5.0,-6.0
1985-01-16,9.0,2.0,0.0,50.09375,-3.0,0,-1.0,-2.0,-3.0,-4.0,-5.0,-6.0,-7.0
1985-01-17,8.0,1.0,0.0,50.40625,-5.0,0,-2.0,-3.0,-4.0,-5.0,-6.0,-7.0,-8.0
1985-01-18,7.0,0.0,0.0,50.71875,-5.5,0,-3.0,-4.0,-5.0,-6.0,-7.0,-8.0,-9.0
1985-01-19,7.0,-1.0,0.0,51.0625,-6.0,0,-4.0,-5.0,-6.0,-7.0,-8.0,-9.0,-10.0
1985-01-20,7.0,-2.0,0.0,51.53125,-8.0,0,-5.0,-6.0,-7.0,-8.0,-9.0,-10.0,-11.0
1985-01-21,7.0,-3.0,0.0,52.03125,-8.5,0,-6.0,-7.0,-8.0,-9.0,-10.0,-11.0,-12.0
1985-01-22,7.0,-4.0,0.0,52.53125,-8.5,0,-7.0,-8.0,-9.0,-10.0,-11.0,-12.0,-13.0
1985-01-23,7.0,-5.0,0.0,52.96875,-9.0,0,-8.0,-9.0,-10.0,-11.0,-12.0,-13.0,-14.0
1985-01-24,7.0,-6.0,0.0,53.40625,-9.0,0,-9.0,-10.0,-11.0,-12.0,-13.0,-14.0,-15.0
1985-01-25,7.0,-7.0,0.0,53.84375,-9.0,0,-10.0,-11.0,-12.0,-13.0,-14.0,-15.0,-16.0
1985-01-26,7.0,-8.0,0.0,54.3125,-9.5,0,-11.0,-12.0,-13.0,-14.0,-15.0,-16.0,-17.0
1985-01-27,7.0,-9.0,0.0,54.78125,-9.5,0,-12.0,-13.0,-14.0,-15.0,-16.0,-17.0,-18.0
1985-01-28,7.0,-10.0,0.0,55.21875,-9.5,0,-13.0,-14.0,-15.0,-16.0,-17.0,-18.0,-19.0
1985-01-29,7.0,-11.0,0.0,55.75,-11.0,0,-14.0,-15.0,-16.0,-17.0,-18.0,-19.0,-20.0
1985-01-30,7.0,-12.0,0.0,56.40625,-13.0,0,-15.0,-16.0,-17.0,-18.0,-19.0,-20.0,-21.0
1985-01-31,7.0,-13.0,0.0,57.09375,-13.5,0,-16.0,-17.0,-18.0,-19.0,-20.0,-21.0,-22.0
1985-02-01,7.0,-14.0,0.0,57.75,-13.0,0,-17.0,-18.0,-19.0,-20.0,-21.0,-22.0,-23.0
1985-02-02,7.0,-15.0,0.0,58.3125,-13.5,0,-18.0,-19.0,-20.0,-21.0,-22.0,-23.0,-24.0
1985-02-03,7.0,-16.0,0.0,58.84375,-13.5,0,-19.0,-20.0,-21.0,-22.0,-23.0,-24.0,-25.0
1985-02-04,7.0,-17.0,0.0,59.40625,-14.5,0,-20.0,-21.0,-22.0,-23.0,-24.0,-25.0,-25.0
1985-02-05,7.0,-18.0,0.0,59.84375,-14.5,0,-21.0,-22.0,-23.0,-24.0,-25.0,-25.0,-26.0
1985-02-06,7.0,-19.0,0.0,60.25,-13.0,0,-22.0,-23.0,-24.0,-25.0,-25.0,-26.0,-26.0
1985-02-07,7.0,-20.0,0.0,60.65625,-13.0,0,-23.0,-24.0,-25.0,-25.0,-26.0,-26.0,-27.0
1985-02-08,7.0,-21.0,0.0,61.0,-12.5,0,-24.0,-25.0,-25.0,-26.0,-26.0,-27.0,-27.0
1985-02-09,7.0,-22.0,0.0,61.34375,-12.5,0,-25.0,-25.0,-26.0,-26.0,-27.0,-27.0,-28.0
1985-02-10,7.0,-23.0,0.0,61.6875,-12.5,0,-25.0,-26.0,-26.0,-27.0,-27.0,-28.0,-28.0
1985-02-11,6.0,-23.8,0.0,62.0,-12.0,0,-26.0,-26.0,-27.0,-27.0,-28.0,-28.0,-29.0
1985-02-12,6.0,-24.6,0.0,62.3125,-12.0,0,-26.0,-27.0,-27.0,-28.0,-28.0,-29.0,-29.0
1985-02-13,5.0,-25.2,0.0,62.625,-12.0,0,-27.0,-27.0,-28.0,-28.0,-29.0,-29.0,-30.0
1985-02-14,5.0,-25.8,0.0,62.84375,-12.0,0,-27.0,-28.0,-28.0,-29.0,-29.0,-30.0,-30.0
1985-02-15,4.0,-26.2,0.0,62.9375,-11.5,0,-28.0,-28.0,-29.0,-29.0,-30.0,-30.0,-30.0
1985-02-16,4.0,-26.8,0.0,63.0,-9.5,0,-28.0,-29.0,-29.0,-30.0,-30.0,-30.0,-31.0
1985-02-17,3.0,-27.2,0.0,63.0625,-9.0,0,-29.0,-29.0,-30.0,-30.0,-30.0,-31.0,-31.0
1985-02-18,4.0,-27.8,0.0,63.09375,-8.5,0,-29.0,-30.0,-30.0,-30.0,-31.0,-31.0,-31.0
1985-02-19,3.0,-28.2,0.0,63.125,-6.5,0,-30.0,-30.0,-30.0,-31.0,-31.0,-31.0,-32.0
1985-02-20,4.0,-28.8,0.0,63.125,-6.5,0,-30.0,-30.0,-31.0,-31.0,-31.0,-32.0,-33.0
1985-02-21,3.0,-29.2,0.0,63.125,-6.5,0,-30.0,-31.0,-31.0,-31.0,-32.0,-33.0,-34.0
1985-02-22,3.0,-29.6,0.0,63.125,-6.0,0,-31.0,-31.0,-31.0,-32.0,-33.0,-34.0,-34.0
1985-02-23,3.0,-30.0,0.0,63.125,-6.0,0,-31.0,-31.0,-32.0,-33.0,-34.0,-34.0,-35.0
1985-02-24,3.0,-30.4,0.0,63.15625,-6.0,0,-31.0,-32.0,-33.0,-34.0,-34.0,-35.0,-35.0
1985-02-25,2.0,-30.6,0.0,63.1875,-5.5,0,-32.0,-33.0,-34.0,-34.0,-35.0,-35.0,-36.0
1985-02-26,3.0,-31.0,0.0,63.1875,-5.0,0,-33.0,-34.0,-34.0,-35.0,-35.0,-36.0,-36.0
1985-02-27,3.0,-31.6,0.0,63.1875,-5.0,0,-34.0,-34.0,-35.0,-35.0,-36.0,-36.0,-36.0
1985-02-28,4.0,-32.2,0.0,63.1875,-3.5,0,-34.0,-35.0,-35.0,-36.0,-36.0,-36.0,-37.0
1985-03-01,4.0,-32.8,0.0,63.1875,-1.5,0,-35.0,-35.0,-36.0,-36.0,-36.0,-37.0,-37.0
1985-03-02,4.0,-33.6,0.0,63.1875,-1.0,0,-35.0,-36.0,-36.0,-36.0,-37.0,-37.0,-37.0
1985-03-03,4.0,-34.2,0.0,63.1875,-1.0,0,-36.0,-36.0,-36.0,-37.0,-37.0,-37.0,-38.0
1985-03-04,5.0,-34.8,0.0,63.0625,1.5,0,-36.0,-36.0,-37.0,-37.0,-37.0,-38.0,-38.0
1985-03-05,4.0,-35.2,0.0,62.875,2.5,0,-36.0,-37.0,-37.0,-37.0,-38.0,-38.0,-38.0
1985-03-06,3.0,-35.6,0.0,62.5625,5.5,0,-37.0,-37.0,-37.0,-38.0,-38.0,-38.0,-38.0
1985-03-07,3.0,-36.0,0.0,62.28125,5.0,0,-37.0,-37.0,-38.0,-38.0,-38.0,-38.0,-38.0
1985-03-08,3.0,-36.4,0.0,61.9375,5.5,0,-37.0,-38.0,-38.0,-38.0,-38.0,-38.0,-39.0
1985-03-09,2.0,-36.6,0.0,61.59375,5.5,0,-38.0,-38.0,-38.0,-38.0,-38.0,-39.0,-39.0
1985-03-10,3.0,-37.0,0.0,61.28125,4.5,0,-38.0,-38.0,-38.0,-38.0,-39.0,-39.0,-39.0
1985-03-11,2.0,-37.4,0.0,61.0,4.0,0,-38.0,-38.0,-38.0,-39.0,-39.0,-39.0,-39.0
1985-03-12,2.0,-37.6,0.0,60.71875,4.0,0,-38.0,-38.0,-39.0,-39.0,-39.0,-39.0,-39.0
1985-03-13,2.0,-37.8,0.0,60.46875,3.5,0,-38.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0
1985-03-14,1.0,-38.0,0.0,60.21875,4.0,0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0
1985-03-15,2.0,-38.2,0.0,59.90625,5.0,0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0
1985-03-16,2.0,-38.4,0.0,59.5625,5.5,0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0
1985-03-17,1.0,-38.6,0.0,59.21875,5.5,0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0
1985-03-18,1.0,-38.8,0.0,58.90625,5.0,0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-40.0
1985-03-19,1.0,-39.0,0.0,58.5625,5.5,0,-39.0,-39.0,-39.0,-39.0,-39.0,-40.0,-40.0
1985-03-20,1.0,-39.0,0.0,58.3125,6.0,0,-39.0,-39.0,-39.0,-39.0,-40.0,-40.0,-40.0
1985-03-21,1.0,-39.0,0.0,58.1875,5.0,0,-39.0,-39.0,-39.0,-40.0,-40.0,-40.0,-40.0
1985-03-22,0.0,-39.0,0.0,58.125,6.5,0,-39.0,-39.0,-40.0,-40.0,-40.0,-40.0,-40.0
1985-03-23,0.0,-39.0,0.0,57.875,9.0,0,-39.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0
1985-03-24,0.0,-39.0,0.0,57.5625,10.5,0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0
1985-03-25,1.0,-39.2,0.0,57.25,10.5,0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0
1985-03-26,1.0,-39.4,0.0,56.9375,10.0,0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0
1985-03-27,1.0,-39.6,0.0,56.625,9.5,0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0
1985-03-28,1.0,-39.8,0.0,56.28125,9.5,0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0
1985-03-29,1.0,-40.0,0.0,55.84375,10.5,0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0
1985-03-30,1.0,-40.0,0.0,55.5,9.5,0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0
1985-03-31,1.0,-40.0,0.0,55.0,13.0,0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0
1985-04-01,0.0,-40.0,0.0,54.40625,15.0,0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-39.0
1985-04-02,0.0,-40.0,0.0,53.71875,16.5,0,-40.0,-40.0,-40.0,-40.0,-40.0,-39.0,-38.0
1985-04-03,0.0,-40.0,0.0,53.0,14.5,0,-40.0,-40.0,-40.0,-40.0,-39.0,-38.0,-37.0
1985-04-04,0.0,-40.0,0.0,52.03125,18.0,0,-40.0,-40.0,-40.0,-39.0,-38.0,-37.0,-35.0
1985-04-05,0.0,-40.0,0.0,51.0625,16.5,0,-40.0,-40.0,-39.0,-38.0,-37.0,-35.0,-33.0
1985-04-06,0.0,-40.0,0.0,50.15625,15.0,0,-40.0,-39.0,-38.0,-37.0,-35.0,-33.0,-32.0
1985-04-07,0.0,-40.0,0.0,49.5,11.5,0,-39.0,-38.0,-37.0,-35.0,-33.0,-32.0,-32.0
1985-04-08,1.0,-39.8,0.0,49.03125,11.0,0,-38.0,-37.0,-35.0,-33.0,-32.0,-32.0,-31.0
1985-04-09,2.0,-39.4,0.0,48.65625,11.5,0,-37.0,-35.0,-33.0,-32.0,-32.0,-31.0,-29.0
1985-04-10,3.0,-38.8,0.0,48.15625,14.0,0,-35.0,-33.0,-32.0,-32.0,-31.0,-29.0,-27.0
1985-04-11,5.0,-37.8,0.0,47.6875,13.0,0,-33.0,-32.0,-32.0,-31.0,-29.0,-27.0,-26.0
1985-04-12,7.0,-36.4,0.0,47.03125,16.0,0,-32.0,-32.0,-31.0,-29.0,-27.0,-26.0,-24.0
1985-04-13,8.0,-35.0,0.0,46.03125,21.5,0,-32.0,-31.0,-29.0,-27.0,-26.0,-24.0,-23.0
1985-04-14,8.0,-33.8,0.5,44.75,26.0,0,-31.0,-29.0,-27.0,-26.0,-24.0,-23.0,-20.0
1985-04-15,8.0,-32.6,1.5,43.03125,31.5,1,-29.0,-27.0,-26.0,-24.0,-23.0,-20.0,-17.0
1985-04-16,9.0,-31.4,2.5,41.34375,34.5,2,-27.0,-26.0,-24.0,-23.0,-20.0,-17.0,-16.0
1985-04-17,10.0,-30.2,3.5,39.46875,40.0,3,-26.0,-24.0,-23.0,-20.0,-17.0,-16.0,-12.0
1985-04-18,9.0,-29.0,4.0,37.5,42.5,3,-24.0,-23.0,-20.0,-17.0,-16.0,-12.0,-8.0
1985-04-19,9.0,-27.4,4.5,35.28125,46.0,3,-23.0,-20.0,-17.0,-16.0,-12.0,-8.0,-3.0
1985-04-20,9.0,-25.8,6.0,33.1875,49.5,3,-20.0,-17.0,-16.0,-12.0,-8.0,-3.0,1.0
1985-04-21,12.0,-24.0,6.5,30.84375,53.0,3,-17.0,-16.0,-12.0,-8.0,-3.0,1.0,3.0
1985-04-22,14.0,-22.0,6.5,28.125,54.5,3,-16.0,-12.0,-8.0,-3.0,1.0,3.0,9.0
1985-04-23,13.0,-20.0,6.5,25.25,52.5,3,-12.0,-8.0,-3.0,1.0,3.0,9.0,17.0
1985-04-24,15.0,-17.6,7.0,22.3125,53.0,3,-8.0,-3.0,1.0,3.0,9.0,17.0,59.0
1985-04-25,18.0,-14.6,8.0,19.375,53.5,3,-3.0,1.0,3.0,9.0,17.0,59.0,77.0
1985-04-26,21.0,-11.2,8.5,16.5625,54.0,3,1.0,3.0,9.0,17.0,59.0,77.0,82.0
1985-04-27,24.0,-7.6,8.5,13.6875,53.5,2,3.0,9.0,17.0,59.0,77.0,82.0,93.0
1985-04-28,23.0,-3.8,8.5,10.96875,52.5,1,9.0,17.0,59.0,77.0,82.0,93.0,101.0
1985-04-29,26.0,0.4,8.5,8.625,53.5,0,17.0,59.0,77.0,82.0,93.0,101.0,115.0
1985-04-30,33.0,5.4,8.5,7.03125,43.5,0,59.0,77.0,82.0,93.0,101.0,115.0,131.0
1985-05-01,71.0,17.8,8.5,5.40625,48.0,0,77.0,82.0,93.0,101.0,115.0,131.0,145.0
1985-05-02,85.0,33.0,8.5,3.96875,46.5,0,82.0,93.0,101.0,115.0,131.0,145.0,192.0
1985-05-03,85.0,48.8,9.0,2.84375,46.5,0,93.0,101.0,115.0,131.0,145.0,192.0,271.0
1985-05-04,92.0,65.6,9.0,1.90625,42.0,0,101.0,115.0,131.0,145.0,192.0,271.0,268.0
1985-05-05,98.0,82.4,9.5,1.21875,41.5,0,115.0,131.0,145.0,192.0,271.0,268.0,307.0
1985-05-06,106.0,93.6,9.5,0.6875,43.5,0,131.0,145.0,192.0,271.0,268.0,307.0,149.0
1985-05-07,114.0,104.4,9.5,0.4375,46.5,0,145.0,192.0,271.0,268.0,307.0,149.0,338.0
1985-05-08,86.0,117.0,9.5,0.4375,47.0,0,192.0,271.0,268.0,307.0,149.0,338.0,340.0
1985-05-09,115.0,136.8,9.5,0.40625,47.0,0,271.0,268.0,307.0,149.0,338.0,340.0,390.0
1985-05-10,189.0,170.8,10.0,0.40625,45.0,0,268.0,307.0,149.0,338.0,340.0,390.0,396.0
1985-05-11,178.0,201.4,10.0,0.40625,46.0,2,307.0,149.0,338.0,340.0,390.0,396.0,400.0
1985-05-12,206.0,236.6,10.0,0.40625,43.5,5,149.0,338.0,340.0,390.0,396.0,400.0,420.0
1985-05-13,192.0,237.4,10.0,0.40625,37.5,6,338.0,340.0,390.0,396.0,400.0,420.0,491.0
1985-05-14,207.0,266.6,9.5,0.40625,32.0,6,340.0,390.0,396.0,400.0,420.0,491.0,565.0
1985-05-15,195.0,280.4,8.5,0.40625,26.0,5,390.0,396.0,400.0,420.0,491.0,565.0,565.0
1985-05-16,241.0,304.8,7.5,0.0,23.0,7,396.0,400.0,420.0,491.0,565.0,565.0,519.0
1985-05-17,247.0,322.6,6.5,0.0,18.0,6,400.0,420.0,491.0,565.0,565.0,519.0,499.0
1985-05-18,251.0,372.8,6.5,0.0,15.0,5,420.0,491.0,565.0,565.0,519.0,499.0,480.0
1985-05-19,271.0,389.2,6.5,0.0,11.0,3,491.0,565.0,565.0,519.0,499.0,480.0,459.0
1985-05-20,342.0,419.4,6.5,0.0,8.5,3,565.0,565.0,519.0,499.0,480.0,459.0,419.0
1985-05-21,227.0,454.4,6.5,0.0,4.0,3,565.0,519.0,499.0,480.0,459.0,419.0,363.0
1985-05-22,225.0,488.2,6.5,0.0,0.0,3,519.0,499.0,480.0,459.0,419.0,363.0,346.0
1985-05-23,175.0,512.0,6.5,0.0,0.5,3,499.0,480.0,459.0,419.0,363.0,346.0,349.0
1985-05-24,169.0,527.8,6.5,0.0,0.0,3,480.0,459.0,419.0,363.0,346.0,349.0,407.0
1985-05-25,165.0,525.6,6.5,0.0,0.0,3,459.0,419.0,363.0,346.0,349.0,407.0,485.0
1985-05-26,145.0,504.4,6.5,0.0,0.0,3,419.0,363.0,346.0,349.0,407.0,485.0,518.0
1985-05-27,146.0,475.2,6.5,0.0,0.0,3,363.0,346.0,349.0,407.0,485.0,518.0,596.0
1985-05-28,202.0,444.0,6.5,0.0,0.0,3,346.0,349.0,407.0,485.0,518.0,596.0,675.0
1985-05-29,219.0,413.4,5.0,0.0,0.0,3,349.0,407.0,485.0,518.0,596.0,675.0,677.0
1985-05-30,173.0,387.2,5.0,0.0,6.5,3,407.0,485.0,518.0,596.0,675.0,677.0,672.0
1985-05-31,153.0,376.8,1.5,0.0,0.0,3,485.0,518.0,596.0,675.0,677.0,672.0,703.0
1985-06-01,139.0,390.0,1.5,0.0,0.0,3,518.0,596.0,675.0,677.0,672.0,703.0,717.0
1985-06-02,172.0,421.0,1.0,0.0,0.0,3,596.0,675.0,677.0,672.0,703.0,717.0,716.0
1985-06-03,250.0,471.0,1.0,0.0,0.0,3,675.0,677.0,672.0,703.0,717.0,716.0,696.0
1985-06-04,329.0,536.2,0.5,0.0,0.0,3,677.0,672.0,703.0,717.0,716.0,696.0,693.0
1985-06-05,331.0,590.2,0.5,0.0,0.0,3,672.0,703.0,717.0,716.0,696.0,693.0,740.0
1985-06-06,328.0,627.6,0.5,0.0,0.0,3,703.0,717.0,716.0,696.0,693.0,740.0,765.0
1985-06-07,296.0,664.6,0.5,0.0,0.0,3,717.0,716.0,696.0,693.0,740.0,765.0,775.0
1985-06-08,232.0,688.8,0.5,0.0,0.0,3,716.0,696.0,693.0,740.0,765.0,775.0,775.0
1985-06-09,199.0,697.0,0.0,0.0,0.0,3,696.0,693.0,740.0,765.0,775.0,775.0,775.0
1985-06-10,121.0,700.8,0.0,0.0,0.0,3,693.0,740.0,765.0,775.0,775.0,775.0,770.0
