,stage_avg,stage_min,stage_max,temp,water_code,ice_thickness,snow_height,place,discharge,year,month,day,delta_stage_max,station_id
1985-01-01,-201.0,-201.0,-201.0,,16,,,,,1985.0,1.0,1.0,,3045
1985-01-02,-203.0,-203.0,-203.0,,16,,,,,1985.0,1.0,2.0,-2.0,3045
1985-01-03,-206.0,-206.0,-206.0,,16,,,,,1985.0,1.0,3.0,-3.0,3045
1985-01-04,-208.0,-208.0,-208.0,,16,,,,,1985.0,1.0,4.0,-2.0,3045
1985-01-05,-212.0,-212.0,-212.0,,16,,,,,1985.0,1.0,5.0,-4.0,3045
1985-01-06,-215.0,-215.0,-215.0,,16,,,,,1985.0,1.0,6.0,-3.0,3045
1985-01-07,-217.0,-217.0,-217.0,,16,,,,,1985.0,1.0,7.0,-2.0,3045
1985-01-08,-220.0,-220.0,-220.0,,16,,,,,1985.0,1.0,8.0,-3.0,3045
1985-01-09,-222.0,-222.0,-222.0,,16,,,,,1985.0,1.0,9.0,-2.0,3045
1985-01-10,-225.0,-225.0,-225.0,,16,84.0,15.0,1.0,,1985.0,1.0,10.0,-3.0,3045
1985-01-11,-226.0,-226.0,-226.0,,16,,,,,1985.0,1.0,11.0,-1.0,3045
1985-01-12,-226.0,-226.0,-226.0,,16,,,,,1985.0,1.0,12.0,0.0,3045
1985-01-13,-227.0,-227.0,-227.0,,16,,,,,1985.0,1.0,13.0,-1.0,3045
1985-01-14,-228.0,-228.0,-228.0,,16,,,,,1985.0,1.0,14.0,-1.0,3045
1985-01-15,-228.0,-228.0,-228.0,,16,,,,,1985.0,1.0,15.0,0.0,3045
1985-01-16,-229.0,-229.0,-229.0,,16,,,,,1985.0,1.0,16.0,-1.0,3045
1985-01-17,-230.0,-230.0,-230.0,,16,,,,,1985.0,1.0,17.0,-1.0,3045
1985-01-18,-231.0,-231.0,-231.0,,16,,,,,1985.0,1.0,18.0,-1.0,3045
1985-01-19,-233.0,-233.0,-233.0,,16,,,,,1985.0,1.0,19.0,-2.0,3045
1985-01-20,-233.0,-233.0,-233.0,,16,93.0,16.0,1.0,,1985.0,1.0,20.0,0.0,3045
1985-01-21,-238.0,-238.0,-238.0,,16,,,,,1985.0,1.0,21.0,-5.0,3045
1985-01-22,-243.0,-243.0,-243.0,,16,,,,,1985.0,1.0,22.0,-5.0,3045
1985-01-23,-246.0,-246.0,-246.0,,16,,,,,1985.0,1.0,23.0,-3.0,3045
1985-01-24,-251.0,-251.0,-251.0,,16,,,,,1985.0,1.0,24.0,-5.0,3045
1985-01-25,-253.0,-253.0,-253.0,,16,,,,,1985.0,1.0,25.0,-2.0,3045
1985-01-26,-257.0,-257.0,-257.0,,16,,,,,1985.0,1.0,26.0,-4.0,3045
1985-01-27,-262.0,-262.0,-262.0,,16,,,,,1985.0,1.0,27.0,-5.0,3045
1985-01-28,-264.0,-264.0,-264.0,,16,,,,,1985.0,1.0,28.0,-2.0,3045
1985-01-29,-268.0,-268.0,-268.0,,16,,,,,1985.0,1.0,29.0,-4.0,3045
1985-01-30,-270.0,-270.0,-270.0,,16,,,,,1985.0,1.0,30.0,-2.0,3045
1985-01-31,-271.0,-271.0,-271.0,,16,107.0,23.0,1.0,,1985.0,1.0,31.0,-1.0,3045
1985-02-01,-273.0,-273.0,-273.0,,16,,,,,1985.0,2.0,32.0,-2.0,3045
1985-02-02,-274.0,-274.0,-274.0,,16,,,,,1985.0,2.0,33.0,-1.0,3045
1985-02-03,-274.0,-274.0,-274.0,,16,,,,,1985.0,2.0,34.0,0.0,3045
1985-02-04,-275.0,-275.0,-275.0,,16,,,,,1985.0,2.0,35.0,-1.0,3045
1985-02-05,-275.0,-275.0,-275.0,,16,,,,,1985.0,2.0,36.0,0.0,3045
1985-02-06,-276.0,-276.0,-276.0,,16,,,,,1985.0,2.0,37.0,-1.0,3045
1985-02-07,-278.0,-278.0,-278.0,,16,,,,,1985.0,2.0,38.0,-2.0,3045
1985-02-08,-279.0,-279.0,-279.0,,16,,,,,1985.0,2.0,39.0,-1.0,3045
1985-02-09,-280.0,-280.0,-280.0,,16,,,,,1985.0,2.0,40.0,-1.0,3045
1985-02-10,-281.0,-281.0,-281.0,,16,115.0,25.0,1.0,,1985.0,2.0,41.0,-1.0,3045
1985-02-11,-281.0,-281.0,-281.0,,16,,,,,1985.0,2.0,42.0,0.0,3045
1985-02-12,-283.0,-283.0,-283.0,,16,,,,,1985.0,2.0,43.0,-2.0,3045
1985-02-13,-284.0,-284.0,-284.0,,16,,,,,1985.0,2.0,44.0,-1.0,3045
1985-02-14,-285.0,-285.0,-285.0,,16,,,,,1985.0,2.0,45.0,-1.0,3045
1985-02-15,-286.0,-286.0,-286.0,,16,,,,,1985.0,2.0,46.0,-1.0,3045
1985-02-16,-286.0,-286.0,-286.0,,16,,,,,1985.0,2.0,47.0,0.0,3045
1985-02-17,-287.0,-287.0,-287.0,,16,,,,,1985.0,2.0,48.0,-1.0,3045
1985-02-18,-288.0,-288.0,-288.0,,16,,,,,1985.0,2.0,49.0,-1.0,3045
1985-02-19,-288.0,-288.0,-288.0,,16,,,,,1985.0,2.0,50.0,0.0,3045
1985-02-20,-289.0,-289.0,-289.0,,16,124.0,26.0,1.0,,1985.0,2.0,51.0,-1.0,3045
1985-02-21,-289.0,-289.0,-289.0,,16,,,,,1985.0,2.0,52.0,0.0,3045
1985-02-22,-290.0,-290.0,-290.0,,16,,,,,1985.0,2.0,53.0,-1.0,3045
1985-02-23,-291.0,-291.0,-291.0,,16,,,,,1985.0,2.0,54.0,-1.0,3045
1985-02-24,-291.0,-291.0,-291.0,,16,,,,,1985.0,2.0,55.0,0.0,3045
1985-02-25,-292.0,-292.0,-292.0,,16,,,,,1985.0,2.0,56.0,-1.0,3045
1985-02-26,-293.0,-293.0,-293.0,,16,,,,,1985.0,2.0,57.0,-1.0,3045
1985-02-27,-293.0,-293.0,-293.0,,16,,,,,1985.0,2.0,58.0,0.0,3045
1985-02-28,-294.0,-294.0,-294.0,,16,130.0,26.0,1.0,,1985.0,2.0,59.0,-1.0,3045
1985-03-01,-294.0,-294.0,-294.0,,16,,,,,1985.0,3.0,60.0,0.0,3045
1985-03-02,-295.0,-295.0,-295.0,,16,,,,,1985.0,3.0,61.0,-1.0,3045
1985-03-03,-296.0,-296.0,-296.0,,16,,,,,1985.0,3.0,62.0,-1.0,3045
1985-03-04,-296.0,-296.0,-296.0,,16,,,,,1985.0,3.0,63.0,0.0,3045
1985-03-05,-297.0,-297.0,-297.0,,16,,,,,1985.0,3.0,64.0,-1.0,3045
1985-03-06,-298.0,-298.0,-298.0,,16,,,,,1985.0,3.0,65.0,-1.0,3045
1985-03-07,-298.0,-298.0,-298.0,,16,,,,,1985.0,3.0,66.0,0.0,3045
1985-03-08,-299.0,-299.0,-299.0,,16,,,,,1985.0,3.0,67.0,-1.0,3045
1985-03-09,-300.0,-300.0,-300.0,,16,,,,,1985.0,3.0,68.0,-1.0,3045
1985-03-10,-302.0,-302.0,-302.0,,16,136.0,25.0,1.0,,1985.0,3.0,69.0,-2.0,3045
1985-03-11,-302.0,-302.0,-302.0,,16,,,,,1985.0,3.0,70.0,0.0,3045
1985-03-12,-301.0,-301.0,-301.0,,16,,,,,1985.0,3.0,71.0,1.0,3045
1985-03-13,-301.0,-301.0,-301.0,,16,,,,,1985.0,3.0,72.0,0.0,3045
1985-03-14,-301.0,-301.0,-301.0,,16,,,,,1985.0,3.0,73.0,0.0,3045
1985-03-15,-300.0,-300.0,-300.0,,16,,,,,1985.0,3.0,74.0,1.0,3045
1985-03-16,-300.0,-300.0,-300.0,,16,,,,,1985.0,3.0,75.0,0.0,3045
1985-03-17,-299.0,-299.0,-299.0,,16,,,,,1985.0,3.0,76.0,1.0,3045
1985-03-18,-299.0,-299.0,-299.0,,16,,,,,1985.0,3.0,77.0,0.0,3045
1985-03-19,-299.0,-299.0,-299.0,,16,,,,,1985.0,3.0,78.0,0.0,3045
1985-03-20,-299.0,-299.0,-299.0,,16,135.0,27.0,1.0,,1985.0,3.0,79.0,0.0,3045
1985-03-21,-299.0,-299.0,-299.0,,16,,,,,1985.0,3.0,80.0,0.0,3045
1985-03-22,-300.0,-300.0,-300.0,,16,,,,,1985.0,3.0,81.0,-1.0,3045
1985-03-23,-300.0,-300.0,-300.0,,16,,,,,1985.0,3.0,82.0,0.0,3045
1985-03-24,-302.0,-302.0,-302.0,,16,,,,,1985.0,3.0,83.0,-2.0,3045
1985-03-25,-302.0,-302.0,-302.0,,16,,,,,1985.0,3.0,84.0,0.0,3045
1985-03-26,-302.0,-302.0,-302.0,,16,,,,,1985.0,3.0,85.0,0.0,3045
1985-03-27,-303.0,-303.0,-303.0,,16,,,,,1985.0,3.0,86.0,-1.0,3045
1985-03-28,-303.0,-303.0,-303.0,,16,,,,,1985.0,3.0,87.0,0.0,3045
1985-03-29,-303.0,-303.0,-303.0,,16,,,,,1985.0,3.0,88.0,0.0,3045
1985-03-30,-304.0,-304.0,-304.0,,16,,,,,1985.0,3.0,89.0,-1.0,3045
1985-03-31,-304.0,-304.0,-304.0,,16,137.0,30.0,1.0,,1985.0,3.0,90.0,0.0,3045
1985-04-01,-305.0,-305.0,-305.0,,16,,,,,1985.0,4.0,91.0,-1.0,3045
1985-04-02,-305.0,-305.0,-305.0,,16,,,,,1985.0,4.0,92.0,0.0,3045
1985-04-03,-305.0,-305.0,-305.0,,16,,,,,1985.0,4.0,93.0,0.0,3045
1985-04-04,-305.0,-305.0,-305.0,,16,,,,,1985.0,4.0,94.0,0.0,3045
1985-04-05,-305.0,-305.0,-305.0,,16,,,,,1985.0,4.0,95.0,0.0,3045
1985-04-06,-306.0,-306.0,-306.0,,16,,,,,1985.0,4.0,96.0,-1.0,3045
1985-04-07,-306.0,-306.0,-306.0,,16,,,,,1985.0,4.0,97.0,0.0,3045
1985-04-08,-306.0,-306.0,-306.0,,16,,,,,1985.0,4.0,98.0,0.0,3045
1985-04-09,-306.0,-306.0,-306.0,,16,,,,,1985.0,4.0,99.0,0.0,3045
1985-04-10,-306.0,-306.0,-306.0,,16,130.0,30.0,1.0,,1985.0,4.0,100.0,0.0,3045
1985-04-11,-305.0,-305.0,-305.0,,16,,,,,1985.0,4.0,101.0,1.0,3045
1985-04-12,-305.0,-305.0,-305.0,,16,,,,,1985.0,4.0,102.0,0.0,3045
