station_id,year,month,data_qual,precipitation_observed,precipitation_corrected,precipitation_corrected_liquid,precipitation_corrected_mixed,precipitation_corrected_solid,sunshine_hours,date,day
24641,1985,1,0.0,5.1,7.3,0.0,0.0,7.3,2.0,1985-01-01,1
24641,1985,2,0.0,7.9,9.9,0.0,0.0,9.9,80.0,1985-02-01,32
24641,1985,3,0.0,13.3,19.2,0.0,0.0,19.2,157.0,1985-03-01,60
24641,1985,4,0.0,12.9,13.8,4.0,4.3,5.4,244.0,1985-04-01,91
24641,1985,5,0.0,7.3,9.2,8.4,0.4,0.4,257.0,1985-05-01,121
24641,1985,6,0.0,28.4,30.6,30.6,0.0,0.0,339.0,1985-06-01,152
24641,1985,7,0.0,67.3,69.3,69.3,0.0,0.0,249.0,1985-07-01,182
24641,1985,8,0.0,49.5,51.3,51.3,0.0,0.0,173.0,1985-08-01,213
24641,1985,9,0.0,58.7,62.8,18.4,16.2,28.2,117.0,1985-09-01,244
24641,1985,10,0.0,19.0,21.1,6.0,2.4,12.7,81.0,1985-10-01,274
24641,1985,11,0.0,22.2,27.0,0.2,2.2,24.7,26.0,1985-11-01,305
24641,1985,12,0.0,9.3,13.2,0.0,0.0,13.2,0.0,1985-12-01,335
24641,1986,1,0.0,5.5,10.2,0.0,0.0,10.2,6.0,1986-01-01,1
24641,1986,2,0.0,12.2,16.4,0.0,0.0,16.4,94.0,1986-02-01,32
24641,1986,3,0.0,15.1,20.7,0.0,0.0,20.7,152.0,1986-03-01,60
24641,1986,4,0.0,22.7,29.2,0.0,0.0,29.2,254.0,1986-04-01,91
24641,1986,5,0.0,11.7,15.8,5.1,2.5,8.1,280.0,1986-05-01,121
24641,1986,6,0.0,32.2,33.7,33.7,0.0,0.0,375.0,1986-06-01,152
24641,1986,7,0.0,20.4,21.0,21.0,0.0,0.0,305.0,1986-07-01,182
24641,1986,8,0.0,16.5,17.7,17.7,0.0,0.0,244.0,1986-08-01,213
